Ball Number,over,ball,Ball,bowler,bowler_role,batsman,batsman_role,Runs,is_wicket,bowler_score,match_id,city,stadium,Stadium_Type,is_extra,legal_delivery,legal_deliveries_count,overs_completed,overs_bowled,total_runs,current_run_rate,total_overs,target,runs_needed,overs_remaining,required_run_rate,wickets_fallen,wickets_in_hand,Ground_Type,innings,result,year
0.1,0,1,1,Mohammed Siraj,Bowlers,Rohit Sharma,Batters,2,False,-1.0,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,1,0,0.1666666666666666,2,12.0,20,160,158,19.83333333333333,7.966386554621849,0,10,Medium,1,win,2021
0.2,0,2,2,Mohammed Siraj,Bowlers,Rohit Sharma,Batters,0,False,1.0,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,2,0,0.3333333333333333,2,6.0,20,160,158,19.666666666666668,8.033898305084746,0,10,Medium,1,win,2021
0.3,0,3,3,Mohammed Siraj,Bowlers,Rohit Sharma,Batters,0,False,1.0,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,3,0,0.5,2,4.0,20,160,158,19.5,8.102564102564102,0,10,Medium,1,win,2021
0.4,0,4,4,Mohammed Siraj,Bowlers,Rohit Sharma,Batters,2,False,-1.0,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,4,0,0.6666666666666666,4,6.0,20,160,156,19.33333333333333,8.068965517241379,0,10,Medium,1,win,2021
0.5,0,5,5,Mohammed Siraj,Bowlers,Rohit Sharma,Batters,0,False,1.0,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,5,0,0.8333333333333334,4,4.8,20,160,156,19.166666666666668,8.139130434782608,0,10,Medium,1,win,2021
0.6,0,6,6,Mohammed Siraj,Bowlers,Rohit Sharma,Batters,1,False,-0.5,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,6,0,1.0,5,5.0,20,160,155,19.0,8.157894736842104,0,10,Medium,1,win,2021
1.1,1,1,7,Kyle Jamieson,Bowlers,Rohit Sharma,Batters,1,False,-0.5,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,7,1,1.1666666666666667,6,5.142857142857142,20,160,154,18.83333333333333,8.176991150442479,0,10,Medium,1,win,2021
1.2,1,2,8,Kyle Jamieson,Bowlers,Chris Lynn,Batters,0,False,1.0,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,8,1,1.3333333333333333,6,4.5,20,160,154,18.666666666666668,8.25,0,10,Medium,1,win,2021
1.3,1,3,9,Kyle Jamieson,Bowlers,Chris Lynn,Batters,0,False,1.0,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,9,1,1.5,6,4.0,20,160,154,18.5,8.324324324324325,0,10,Medium,1,win,2021
1.4,1,4,10,Kyle Jamieson,Bowlers,Chris Lynn,Batters,0,False,1.0,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,10,1,1.6666666666666663,6,3.6000000000000005,20,160,154,18.33333333333333,8.4,0,10,Medium,1,win,2021
1.5,1,5,11,Kyle Jamieson,Bowlers,Chris Lynn,Batters,0,False,1.0,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,11,1,1.8333333333333333,6,3.2727272727272725,20,160,154,18.166666666666668,8.477064220183486,0,10,Medium,1,win,2021
1.6,1,6,12,Kyle Jamieson,Bowlers,Chris Lynn,Batters,0,False,1.0,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,12,1,2.0,6,3.0,20,160,154,18.0,8.555555555555555,0,10,Medium,1,win,2021
2.1,2,1,13,Mohammed Siraj,Bowlers,Rohit Sharma,Batters,0,False,1.0,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,13,2,2.1666666666666665,6,2.7692307692307696,20,160,154,17.833333333333332,8.63551401869159,0,10,Medium,1,win,2021
2.2,2,2,14,Mohammed Siraj,Bowlers,Rohit Sharma,Batters,0,False,1.0,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,14,2,2.333333333333333,6,2.571428571428571,20,160,154,17.666666666666668,8.716981132075471,0,10,Medium,1,win,2021
2.3,2,3,15,Mohammed Siraj,Bowlers,Rohit Sharma,Batters,0,False,1.0,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,15,2,2.5,6,2.4,20,160,154,17.5,8.8,0,10,Medium,1,win,2021
2.4,2,4,16,Mohammed Siraj,Bowlers,Rohit Sharma,Batters,0,False,1.0,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,16,2,2.6666666666666665,6,2.25,20,160,154,17.333333333333332,8.884615384615385,0,10,Medium,1,win,2021
2.5,2,5,17,Mohammed Siraj,Bowlers,Rohit Sharma,Batters,4,False,-2.0,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,17,2,2.833333333333333,10,3.5294117647058822,20,160,150,17.166666666666668,8.737864077669903,0,10,Medium,1,win,2021
2.6,2,6,18,Mohammed Siraj,Bowlers,Rohit Sharma,Batters,2,False,-1.0,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,18,2,3.0,12,4.0,20,160,148,17.0,8.705882352941176,0,10,Medium,1,win,2021
3.1,3,1,19,Yuzvendra Chahal,Bowlers,Chris Lynn,Batters,0,False,1.0,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,19,3,3.1666666666666665,12,3.789473684210527,20,160,148,16.833333333333332,8.792079207920793,0,10,Medium,1,win,2021
3.2,3,2,20,Yuzvendra Chahal,Bowlers,Chris Lynn,Batters,4,False,-2.0,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,20,3,3.333333333333333,16,4.8,20,160,144,16.666666666666668,8.639999999999999,0,10,Medium,1,win,2021
3.3,3,3,21,Yuzvendra Chahal,Bowlers,Chris Lynn,Batters,1,False,-0.5,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,21,3,3.5,17,4.857142857142857,20,160,143,16.5,8.666666666666666,0,10,Medium,1,win,2021
3.4,3,4,22,Yuzvendra Chahal,Bowlers,Rohit Sharma,Batters,6,False,-3.0,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,22,3,3.6666666666666665,23,6.272727272727273,20,160,137,16.333333333333332,8.387755102040817,0,10,Medium,1,win,2021
3.5,3,5,23,Yuzvendra Chahal,Bowlers,Rohit Sharma,Batters,1,False,-0.5,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,23,3,3.8333333333333335,24,6.260869565217391,20,160,136,16.166666666666668,8.412371134020617,0,10,Medium,1,win,2021
3.6,3,6,24,Yuzvendra Chahal,Bowlers,Chris Lynn,Batters,0,True,5.0,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,24,3,4.0,24,6.0,20,160,136,16.0,8.5,1,9,Medium,1,win,2021
4.1,4,1,25,Kyle Jamieson,Bowlers,Suryakumar Yadav,Batters,4,False,-2.0,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,25,4,4.166666666666667,28,6.72,20,160,132,15.833333333333332,8.336842105263159,1,9,Medium,1,win,2021
4.2,4,2,26,Kyle Jamieson,Bowlers,Suryakumar Yadav,Batters,0,False,1.0,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,26,4,4.333333333333333,28,6.461538461538462,20,160,132,15.666666666666668,8.425531914893616,1,9,Medium,1,win,2021
4.3,4,3,27,Kyle Jamieson,Bowlers,Suryakumar Yadav,Batters,1,False,-0.5,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,27,4,4.5,29,6.444444444444445,20,160,131,15.5,8.451612903225806,1,9,Medium,1,win,2021
4.4,4,4,28,Kyle Jamieson,Bowlers,Chris Lynn,Batters,1,False,-0.5,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,28,4,4.666666666666667,30,6.428571428571428,20,160,130,15.333333333333332,8.478260869565219,1,9,Medium,1,win,2021
4.5,4,5,29,Kyle Jamieson,Bowlers,Suryakumar Yadav,Batters,0,False,1.0,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,29,4,4.833333333333333,30,6.206896551724138,20,160,130,15.166666666666668,8.571428571428571,1,9,Medium,1,win,2021
4.6,4,6,30,Kyle Jamieson,Bowlers,Suryakumar Yadav,Batters,0,False,1.0,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,30,4,5.0,30,6.0,20,160,130,15.0,8.666666666666666,1,9,Medium,1,win,2021
5.1,5,1,31,Yuzvendra Chahal,Bowlers,Chris Lynn,Batters,0,False,1.0,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,31,5,5.166666666666667,30,5.806451612903225,20,160,130,14.833333333333332,8.764044943820226,1,9,Medium,1,win,2021
5.2,5,2,32,Yuzvendra Chahal,Bowlers,Chris Lynn,Batters,6,False,-3.0,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,32,5,5.333333333333333,36,6.75,20,160,124,14.666666666666668,8.454545454545453,1,9,Medium,1,win,2021
5.3,5,3,33,Yuzvendra Chahal,Bowlers,Chris Lynn,Batters,0,False,1.0,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,33,5,5.5,36,6.545454545454546,20,160,124,14.5,8.551724137931034,1,9,Medium,1,win,2021
5.4,5,4,34,Yuzvendra Chahal,Bowlers,Chris Lynn,Batters,1,False,-0.5,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,34,5,5.666666666666667,37,6.529411764705882,20,160,123,14.333333333333332,8.58139534883721,1,9,Medium,1,win,2021
5.5,5,5,35,Yuzvendra Chahal,Bowlers,Suryakumar Yadav,Batters,0,False,1.0,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,35,5,5.833333333333333,37,6.342857142857143,20,160,123,14.166666666666668,8.68235294117647,1,9,Medium,1,win,2021
5.6,5,6,36,Yuzvendra Chahal,Bowlers,Suryakumar Yadav,Batters,4,False,-2.0,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,36,5,6.0,41,6.833333333333333,20,160,119,14.0,8.5,1,9,Medium,1,win,2021
6.1,6,1,37,Shahbaz Ahmed,All-Rounders,Chris Lynn,Batters,1,False,-0.5,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,37,6,6.166666666666667,42,6.8108108108108105,20,160,118,13.833333333333332,8.530120481927712,1,9,Medium,1,win,2021
6.2,6,2,38,Shahbaz Ahmed,All-Rounders,Suryakumar Yadav,Batters,1,False,-0.5,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,38,6,6.333333333333333,43,6.789473684210527,20,160,117,13.666666666666668,8.560975609756097,1,9,Medium,1,win,2021
6.3,6,3,39,Shahbaz Ahmed,All-Rounders,Chris Lynn,Batters,4,False,-2.0,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,39,6,6.5,47,7.230769230769231,20,160,113,13.5,8.37037037037037,1,9,Medium,1,win,2021
6.4,6,4,40,Shahbaz Ahmed,All-Rounders,Chris Lynn,Batters,6,False,-3.0,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,40,6,6.666666666666667,53,7.949999999999999,20,160,107,13.333333333333332,8.025,1,9,Medium,1,win,2021
6.5,6,5,41,Shahbaz Ahmed,All-Rounders,Chris Lynn,Batters,1,False,-0.5,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,41,6,6.833333333333333,54,7.902439024390244,20,160,106,13.166666666666668,8.050632911392404,1,9,Medium,1,win,2021
6.6,6,6,42,Shahbaz Ahmed,All-Rounders,Suryakumar Yadav,Batters,1,False,-0.5,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,42,6,7.0,55,7.857142857142857,20,160,105,13.0,8.076923076923077,1,9,Medium,1,win,2021
7.1,7,1,43,Harshal Patel,Bowlers,Suryakumar Yadav,Batters,2,False,-1.0,1,Chepauk,MA Chidambaram Stadium,Medium,True,False,42,6,7.0,57,8.142857142857142,20,160,103,13.0,7.923076923076923,1,9,Medium,1,win,2021
7.1,7,1,44,Harshal Patel,Bowlers,Chris Lynn,Batters,6,False,-3.0,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,43,7,7.166666666666667,63,8.790697674418604,20,160,97,12.833333333333332,7.558441558441559,1,9,Medium,1,win,2021
7.2,7,2,45,Harshal Patel,Bowlers,Chris Lynn,Batters,1,False,-0.5,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,44,7,7.333333333333333,64,8.727272727272728,20,160,96,12.666666666666668,7.578947368421052,1,9,Medium,1,win,2021
7.3,7,3,46,Harshal Patel,Bowlers,Suryakumar Yadav,Batters,0,False,1.0,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,45,7,7.5,64,8.533333333333333,20,160,96,12.5,7.68,1,9,Medium,1,win,2021
7.4,7,4,47,Harshal Patel,Bowlers,Suryakumar Yadav,Batters,4,False,-2.0,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,46,7,7.666666666666667,68,8.869565217391305,20,160,92,12.333333333333332,7.459459459459459,1,9,Medium,1,win,2021
7.5,7,5,48,Harshal Patel,Bowlers,Suryakumar Yadav,Batters,1,False,-0.5,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,47,7,7.833333333333333,69,8.808510638297873,20,160,91,12.166666666666668,7.47945205479452,1,9,Medium,1,win,2021
7.6,7,6,49,Harshal Patel,Bowlers,Chris Lynn,Batters,1,False,-0.5,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,48,7,8.0,70,8.75,20,160,90,12.0,7.5,1,9,Medium,1,win,2021
8.1,8,1,50,Dan Christian,All-Rounders,Chris Lynn,Batters,1,False,-0.5,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,49,8,8.166666666666666,71,8.693877551020408,20,160,89,11.833333333333334,7.52112676056338,1,9,Medium,1,win,2021
8.2,8,2,51,Dan Christian,All-Rounders,Suryakumar Yadav,Batters,4,False,-2.0,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,50,8,8.333333333333334,75,9.0,20,160,85,11.666666666666666,7.2857142857142865,1,9,Medium,1,win,2021
8.3,8,3,52,Dan Christian,All-Rounders,Suryakumar Yadav,Batters,1,False,-0.5,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,51,8,8.5,76,8.941176470588236,20,160,84,11.5,7.304347826086956,1,9,Medium,1,win,2021
8.4,8,4,53,Dan Christian,All-Rounders,Chris Lynn,Batters,2,False,-1.0,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,52,8,8.666666666666666,78,9.0,20,160,82,11.333333333333334,7.235294117647059,1,9,Medium,1,win,2021
