Ball Number,over,ball,Ball,bowler,bowler_role,batsman,batsman_role,Runs,is_wicket,bowler_score,match_id,city,stadium,Stadium_Type,is_extra,legal_delivery,legal_deliveries_count,overs_completed,overs_bowled,total_runs,current_run_rate,total_overs,target,runs_needed,overs_remaining,required_run_rate,wickets_fallen,wickets_in_hand,Ground_Type,innings,result,year
0.1,0,1,1,Deepak Chahar,Bowlers,Rohit Sharma,Batters,0,False,1.0,1,Mumbai,Wankhede Stadium,Medium,False,True,1,0,0.1666666666666666,0,0.0,20,166,166,19.83333333333333,8.369747899159664,0,10,Medium,1,lose,2018
0.2,0,2,2,Deepak Chahar,Bowlers,Rohit Sharma,Batters,0,False,1.0,1,Mumbai,Wankhede Stadium,Medium,False,True,2,0,0.3333333333333333,0,0.0,20,166,166,19.666666666666668,8.440677966101694,0,10,Medium,1,lose,2018
0.3,0,3,3,Deepak Chahar,Bowlers,Rohit Sharma,Batters,0,False,1.0,1,Mumbai,Wankhede Stadium,Medium,False,True,3,0,0.5,0,0.0,20,166,166,19.5,8.512820512820513,0,10,Medium,1,lose,2018
0.4,0,4,4,Deepak Chahar,Bowlers,Rohit Sharma,Batters,4,False,-2.0,1,Mumbai,Wankhede Stadium,Medium,False,True,4,0,0.6666666666666666,4,6.0,20,166,162,19.33333333333333,8.379310344827587,0,10,Medium,1,lose,2018
0.5,0,5,5,Deepak Chahar,Bowlers,Rohit Sharma,Batters,1,False,-0.5,1,Mumbai,Wankhede Stadium,Medium,False,True,5,0,0.8333333333333334,5,6.0,20,166,161,19.166666666666668,8.4,0,10,Medium,1,lose,2018
0.6,0,6,6,Deepak Chahar,Bowlers,Evin Lewis,Batters,0,False,1.0,1,Mumbai,Wankhede Stadium,Medium,False,True,6,0,1.0,5,5.0,20,166,161,19.0,8.473684210526315,0,10,Medium,1,lose,2018
1.1,1,1,7,Shane Watson,All-Rounders,Rohit Sharma,Batters,0,False,1.0,1,Mumbai,Wankhede Stadium,Medium,False,True,7,1,1.1666666666666667,5,4.285714285714286,20,166,161,18.83333333333333,8.548672566371682,0,10,Medium,1,lose,2018
1.2,1,2,8,Shane Watson,All-Rounders,Rohit Sharma,Batters,0,False,1.0,1,Mumbai,Wankhede Stadium,Medium,False,True,8,1,1.3333333333333333,5,3.75,20,166,161,18.666666666666668,8.625,0,10,Medium,1,lose,2018
1.3,1,3,9,Shane Watson,All-Rounders,Rohit Sharma,Batters,2,False,-1.0,1,Mumbai,Wankhede Stadium,Medium,False,True,9,1,1.5,7,4.666666666666667,20,166,159,18.5,8.594594594594595,0,10,Medium,1,lose,2018
1.4,1,4,10,Shane Watson,All-Rounders,Rohit Sharma,Batters,0,False,1.0,1,Mumbai,Wankhede Stadium,Medium,False,True,10,1,1.6666666666666663,7,4.2,20,166,159,18.33333333333333,8.672727272727274,0,10,Medium,1,lose,2018
1.5,1,5,11,Shane Watson,All-Rounders,Rohit Sharma,Batters,0,False,1.0,1,Mumbai,Wankhede Stadium,Medium,False,True,11,1,1.8333333333333333,7,3.818181818181818,20,166,159,18.166666666666668,8.75229357798165,0,10,Medium,1,lose,2018
1.6,1,6,12,Shane Watson,All-Rounders,Rohit Sharma,Batters,0,False,1.0,1,Mumbai,Wankhede Stadium,Medium,False,True,12,1,2.0,7,3.5,20,166,159,18.0,8.833333333333334,0,10,Medium,1,lose,2018
2.1,2,1,13,Deepak Chahar,Bowlers,Evin Lewis,Batters,0,True,5.0,1,Mumbai,Wankhede Stadium,Medium,False,True,13,2,2.1666666666666665,7,3.230769230769231,20,166,159,17.833333333333332,8.915887850467291,1,9,Medium,1,lose,2018
2.2,2,2,14,Deepak Chahar,Bowlers,Ishan Kishan,Batters,2,False,-1.0,1,Mumbai,Wankhede Stadium,Medium,False,True,14,2,2.333333333333333,9,3.8571428571428568,20,166,157,17.666666666666668,8.886792452830187,1,9,Medium,1,lose,2018
2.3,2,3,15,Deepak Chahar,Bowlers,Ishan Kishan,Batters,1,False,-0.5,1,Mumbai,Wankhede Stadium,Medium,False,True,15,2,2.5,10,4.0,20,166,156,17.5,8.914285714285715,1,9,Medium,1,lose,2018
2.4,2,4,16,Deepak Chahar,Bowlers,Rohit Sharma,Batters,0,False,1.0,1,Mumbai,Wankhede Stadium,Medium,False,True,16,2,2.6666666666666665,10,3.75,20,166,156,17.333333333333332,9.0,1,9,Medium,1,lose,2018
2.5,2,5,17,Deepak Chahar,Bowlers,Rohit Sharma,Batters,0,False,1.0,1,Mumbai,Wankhede Stadium,Medium,False,True,17,2,2.833333333333333,10,3.5294117647058822,20,166,156,17.166666666666668,9.0873786407767,1,9,Medium,1,lose,2018
2.6,2,6,18,Deepak Chahar,Bowlers,Rohit Sharma,Batters,2,False,-1.0,1,Mumbai,Wankhede Stadium,Medium,False,True,18,2,3.0,12,4.0,20,166,154,17.0,9.058823529411764,1,9,Medium,1,lose,2018
3.1,3,1,19,Shane Watson,All-Rounders,Ishan Kishan,Batters,1,False,-0.5,1,Mumbai,Wankhede Stadium,Medium,False,True,19,3,3.1666666666666665,13,4.105263157894737,20,166,153,16.833333333333332,9.08910891089109,1,9,Medium,1,lose,2018
3.2,3,2,20,Shane Watson,All-Rounders,Rohit Sharma,Batters,0,False,1.0,1,Mumbai,Wankhede Stadium,Medium,False,True,20,3,3.333333333333333,13,3.9,20,166,153,16.666666666666668,9.18,1,9,Medium,1,lose,2018
3.3,3,3,21,Shane Watson,All-Rounders,Rohit Sharma,Batters,1,False,-1.0,1,Mumbai,Wankhede Stadium,Medium,True,False,20,3,3.333333333333333,14,4.2,20,166,152,16.666666666666668,9.12,1,9,Medium,1,lose,2018
3.3,3,3,22,Shane Watson,All-Rounders,Rohit Sharma,Batters,6,False,-3.0,1,Mumbai,Wankhede Stadium,Medium,False,True,21,3,3.5,20,5.714285714285714,20,166,146,16.5,8.848484848484848,1,9,Medium,1,lose,2018
3.4,3,4,23,Shane Watson,All-Rounders,Rohit Sharma,Batters,0,False,1.0,1,Mumbai,Wankhede Stadium,Medium,False,True,22,3,3.6666666666666665,20,5.454545454545455,20,166,146,16.333333333333332,8.938775510204083,1,9,Medium,1,lose,2018
3.5,3,5,24,Shane Watson,All-Rounders,Rohit Sharma,Batters,0,True,5.0,1,Mumbai,Wankhede Stadium,Medium,False,True,23,3,3.8333333333333335,20,5.217391304347826,20,166,146,16.166666666666668,9.030927835051546,2,8,Medium,1,lose,2018
3.6,3,6,25,Shane Watson,All-Rounders,Ishan Kishan,Batters,2,False,-1.0,1,Mumbai,Wankhede Stadium,Medium,False,True,24,3,4.0,22,5.5,20,166,144,16.0,9.0,2,8,Medium,1,lose,2018
4.1,4,1,26,Deepak Chahar,Bowlers,Suryakumar Yadav,Batters,0,False,1.0,1,Mumbai,Wankhede Stadium,Medium,False,True,25,4,4.166666666666667,22,5.279999999999999,20,166,144,15.833333333333332,9.094736842105265,2,8,Medium,1,lose,2018
4.2,4,2,27,Deepak Chahar,Bowlers,Suryakumar Yadav,Batters,4,False,-2.0,1,Mumbai,Wankhede Stadium,Medium,False,True,26,4,4.333333333333333,26,6.0,20,166,140,15.666666666666668,8.936170212765957,2,8,Medium,1,lose,2018
4.3,4,3,28,Deepak Chahar,Bowlers,Suryakumar Yadav,Batters,0,False,1.0,1,Mumbai,Wankhede Stadium,Medium,False,True,27,4,4.5,26,5.777777777777778,20,166,140,15.5,9.03225806451613,2,8,Medium,1,lose,2018
