Ball Number,over,ball,Ball,bowler,bowler_role,batsman,batsman_role,Runs,is_wicket,bowler_score,match_id,city,stadium,Stadium_Type,is_extra,legal_delivery,legal_deliveries_count,overs_completed,overs_bowled,total_runs,current_run_rate,total_overs,target,runs_needed,overs_remaining,required_run_rate,wickets_fallen,wickets_in_hand,Ground_Type,innings,result,year
0.1,0,1,1,Deepak Chahar,Bowlers,Virat Kohli,Batters,1,False,-1.0,1,Chepauk,MA Chidambaram Stadium,Medium,True,False,0,0,0.0,1,0.0,20,174,173,20.0,8.65,0,10,Medium,1,lose,2024
0.1,0,1,2,Deepak Chahar,Bowlers,Virat Kohli,Batters,1,False,-0.5,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,1,0,0.1666666666666666,2,12.0,20,174,172,19.83333333333333,8.672268907563026,0,10,Medium,1,lose,2024
0.2,0,2,3,Deepak Chahar,Bowlers,Faf du Plessis,Batters,0,False,1.0,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,2,0,0.3333333333333333,2,6.0,20,174,172,19.666666666666668,8.745762711864407,0,10,Medium,1,lose,2024
0.3,0,3,4,Deepak Chahar,Bowlers,Faf du Plessis,Batters,0,False,1.0,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,3,0,0.5,2,4.0,20,174,172,19.5,8.820512820512821,0,10,Medium,1,lose,2024
0.4,0,4,5,Deepak Chahar,Bowlers,Faf du Plessis,Batters,0,False,1.0,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,4,0,0.6666666666666666,2,3.0,20,174,172,19.33333333333333,8.896551724137932,0,10,Medium,1,lose,2024
0.5,0,5,6,Deepak Chahar,Bowlers,Faf du Plessis,Batters,4,False,-2.0,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,5,0,0.8333333333333334,6,7.199999999999999,20,174,168,19.166666666666668,8.765217391304347,0,10,Medium,1,lose,2024
0.6,0,6,7,Deepak Chahar,Bowlers,Faf du Plessis,Batters,1,False,-0.5,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,6,0,1.0,7,7.0,20,174,167,19.0,8.789473684210526,0,10,Medium,1,lose,2024
1.1,1,1,8,Tushar Deshpande,Bowlers,Faf du Plessis,Batters,4,False,-2.0,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,7,1,1.1666666666666667,11,9.428571428571429,20,174,163,18.83333333333333,8.654867256637168,0,10,Medium,1,lose,2024
1.2,1,2,9,Tushar Deshpande,Bowlers,Faf du Plessis,Batters,0,False,1.0,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,8,1,1.3333333333333333,11,8.25,20,174,163,18.666666666666668,8.732142857142856,0,10,Medium,1,lose,2024
1.3,1,3,10,Tushar Deshpande,Bowlers,Faf du Plessis,Batters,4,False,-2.0,1,Chepauk,MA Chidambaram Stadium,Medium,False,True,9,1,1.5,15,10.0,20,174,159,18.5,8.594594594594595,0,10,Medium,1,lose,2024
