Ball Number,over,ball,Ball,bowler,bowler_role,batsman,batsman_role,Runs,is_wicket,bowler_score,match_id,city,stadium,Stadium_Type,is_extra,legal_delivery,legal_deliveries_count,overs_completed,overs_bowled,total_runs,current_run_rate,total_overs,target,runs_needed,overs_remaining,required_run_rate,wickets_fallen,wickets_in_hand,Ground_Type,innings,result,year
0.1,0,1,1,Umesh Yadav,Bowlers,Ruturaj Gaikwad,Batters,1,False,-1.0,1,Mumbai,Wankhede Stadium,Medium,True,False,0,0,0.0,1,0.0,20,132,131,20.0,6.55,0,10,Medium,1,lose,2022
0.1,0,1,2,Umesh Yadav,Bowlers,Ruturaj Gaikwad,Batters,0,False,1.0,1,Mumbai,Wankhede Stadium,Medium,False,True,1,0,0.1666666666666666,1,6.0,20,132,131,19.83333333333333,6.605042016806723,0,10,Medium,1,lose,2022
0.2,0,2,3,Umesh Yadav,Bowlers,Ruturaj Gaikwad,Batters,0,False,1.0,1,Mumbai,Wankhede Stadium,Medium,False,True,2,0,0.3333333333333333,1,3.0,20,132,131,19.666666666666668,6.661016949152542,0,10,Medium,1,lose,2022
0.2,0,2,4,Umesh Yadav,Bowlers,Ruturaj Gaikwad,Batters,1,False,-1.0,1,Mumbai,Wankhede Stadium,Medium,True,False,2,0,0.3333333333333333,2,6.0,20,132,130,19.666666666666668,6.610169491525423,0,10,Medium,1,lose,2022
0.3,0,3,5,Umesh Yadav,Bowlers,Ruturaj Gaikwad,Batters,0,True,5.0,1,Mumbai,Wankhede Stadium,Medium,False,True,3,0,0.5,2,4.0,20,132,130,19.5,6.666666666666667,1,9,Medium,1,lose,2022
0.4,0,4,6,Umesh Yadav,Bowlers,Robin Uthappa,Batters,1,False,-1.0,1,Mumbai,Wankhede Stadium,Medium,True,False,3,0,0.5,3,6.0,20,132,129,19.5,6.615384615384615,1,9,Medium,1,lose,2022
0.4,0,4,7,Umesh Yadav,Bowlers,Robin Uthappa,Batters,0,False,1.0,1,Mumbai,Wankhede Stadium,Medium,False,True,4,0,0.6666666666666666,3,4.5,20,132,129,19.33333333333333,6.672413793103448,1,9,Medium,1,lose,2022
0.5,0,5,8,Umesh Yadav,Bowlers,Robin Uthappa,Batters,0,False,1.0,1,Mumbai,Wankhede Stadium,Medium,False,True,5,0,0.8333333333333334,3,3.6,20,132,129,19.166666666666668,6.730434782608695,1,9,Medium,1,lose,2022
0.6,0,6,9,Umesh Yadav,Bowlers,Robin Uthappa,Batters,0,False,1.0,1,Mumbai,Wankhede Stadium,Medium,False,True,6,0,1.0,3,3.0,20,132,129,19.0,6.789473684210527,1,9,Medium,1,lose,2022
1.1,1,1,10,Shivam Mavi,Bowlers,Devon Conway,Batters,0,False,1.0,1,Mumbai,Wankhede Stadium,Medium,False,True,7,1,1.1666666666666667,3,2.571428571428571,20,132,129,18.83333333333333,6.849557522123894,1,9,Medium,1,lose,2022
1.2,1,2,11,Shivam Mavi,Bowlers,Devon Conway,Batters,0,False,1.0,1,Mumbai,Wankhede Stadium,Medium,False,True,8,1,1.3333333333333333,3,2.25,20,132,129,18.666666666666668,6.910714285714286,1,9,Medium,1,lose,2022
1.3,1,3,12,Shivam Mavi,Bowlers,Devon Conway,Batters,1,False,-0.5,1,Mumbai,Wankhede Stadium,Medium,False,True,9,1,1.5,4,2.6666666666666665,20,132,128,18.5,6.918918918918919,1,9,Medium,1,lose,2022
1.4,1,4,13,Shivam Mavi,Bowlers,Robin Uthappa,Batters,4,False,-2.0,1,Mumbai,Wankhede Stadium,Medium,False,True,10,1,1.6666666666666663,8,4.800000000000001,20,132,124,18.33333333333333,6.763636363636364,1,9,Medium,1,lose,2022
1.5,1,5,14,Shivam Mavi,Bowlers,Robin Uthappa,Batters,0,False,1.0,1,Mumbai,Wankhede Stadium,Medium,False,True,11,1,1.8333333333333333,8,4.363636363636363,20,132,124,18.166666666666668,6.825688073394495,1,9,Medium,1,lose,2022
1.6,1,6,15,Shivam Mavi,Bowlers,Robin Uthappa,Batters,0,False,1.0,1,Mumbai,Wankhede Stadium,Medium,False,True,12,1,2.0,8,4.0,20,132,124,18.0,6.888888888888889,1,9,Medium,1,lose,2022
2.1,2,1,16,Umesh Yadav,Bowlers,Devon Conway,Batters,1,False,-0.5,1,Mumbai,Wankhede Stadium,Medium,False,True,13,2,2.1666666666666665,9,4.153846153846154,20,132,123,17.833333333333332,6.897196261682243,1,9,Medium,1,lose,2022
2.2,2,2,17,Umesh Yadav,Bowlers,Robin Uthappa,Batters,6,False,-3.0,1,Mumbai,Wankhede Stadium,Medium,False,True,14,2,2.333333333333333,15,6.428571428571428,20,132,117,17.666666666666668,6.6226415094339615,1,9,Medium,1,lose,2022
2.3,2,3,18,Umesh Yadav,Bowlers,Robin Uthappa,Batters,0,False,1.0,1,Mumbai,Wankhede Stadium,Medium,False,True,15,2,2.5,15,6.0,20,132,117,17.5,6.685714285714286,1,9,Medium,1,lose,2022
2.4,2,4,19,Umesh Yadav,Bowlers,Robin Uthappa,Batters,0,False,1.0,1,Mumbai,Wankhede Stadium,Medium,False,True,16,2,2.6666666666666665,15,5.625,20,132,117,17.333333333333332,6.750000000000001,1,9,Medium,1,lose,2022
2.5,2,5,20,Umesh Yadav,Bowlers,Robin Uthappa,Batters,1,False,-0.5,1,Mumbai,Wankhede Stadium,Medium,False,True,17,2,2.833333333333333,16,5.647058823529411,20,132,116,17.166666666666668,6.757281553398058,1,9,Medium,1,lose,2022
2.6,2,6,21,Umesh Yadav,Bowlers,Devon Conway,Batters,0,False,1.0,1,Mumbai,Wankhede Stadium,Medium,False,True,18,2,3.0,16,5.333333333333333,20,132,116,17.0,6.823529411764706,1,9,Medium,1,lose,2022
3.1,3,1,22,Shivam Mavi,Bowlers,Robin Uthappa,Batters,1,False,-0.5,1,Mumbai,Wankhede Stadium,Medium,False,True,19,3,3.1666666666666665,17,5.368421052631579,20,132,115,16.833333333333332,6.831683168316832,1,9,Medium,1,lose,2022
3.2,3,2,23,Shivam Mavi,Bowlers,Devon Conway,Batters,0,False,1.0,1,Mumbai,Wankhede Stadium,Medium,False,True,20,3,3.333333333333333,17,5.1,20,132,115,16.666666666666668,6.9,1,9,Medium,1,lose,2022
