Ball Number,over,ball,Ball,bowler,bowler_role,batsman,batsman_role,Runs,is_wicket,bowler_score,match_id,city,stadium,Stadium_Type,is_extra,legal_delivery,legal_deliveries_count,overs_completed,overs_bowled,total_runs,current_run_rate,total_overs,target,runs_needed,overs_remaining,required_run_rate,wickets_fallen,wickets_in_hand,Ground_Type,innings,result,year
0.1,0,1,1,Rahul Chahar,Bowlers,Rohit Sharma,Batters,4,False,-2.0,1,Abu Dhabi,Zayed Cricket Stadium,Large,False,True,1,0,0.1666666666666666,4,24.0,20,163,159,19.83333333333333,8.016806722689076,0,10,Large,1,lose,2020
0.2,0,2,2,Rahul Chahar,Bowlers,Rohit Sharma,Batters,1,False,-0.5,1,Abu Dhabi,Zayed Cricket Stadium,Large,False,True,2,0,0.3333333333333333,5,15.0,20,163,158,19.666666666666668,8.033898305084746,0,10,Large,1,lose,2020
0.3,0,3,3,Rahul Chahar,Bowlers,Quinton de Kock,Batters,2,False,-1.0,1,Abu Dhabi,Zayed Cricket Stadium,Large,False,True,3,0,0.5,7,14.0,20,163,156,19.5,8.0,0,10,Large,1,lose,2020
0.4,0,4,4,Rahul Chahar,Bowlers,Quinton de Kock,Batters,4,False,-2.0,1,Abu Dhabi,Zayed Cricket Stadium,Large,False,True,4,0,0.6666666666666666,11,16.5,20,163,152,19.33333333333333,7.862068965517242,0,10,Large,1,lose,2020
0.5,0,5,5,Rahul Chahar,Bowlers,Quinton de Kock,Batters,0,False,1.0,1,Abu Dhabi,Zayed Cricket Stadium,Large,False,True,5,0,0.8333333333333334,11,13.2,20,163,152,19.166666666666668,7.930434782608695,0,10,Large,1,lose,2020
0.6,0,6,6,Rahul Chahar,Bowlers,Quinton de Kock,Batters,1,False,-0.5,1,Abu Dhabi,Zayed Cricket Stadium,Large,False,True,6,0,1.0,12,12.0,20,163,151,19.0,7.947368421052632,0,10,Large,1,lose,2020
1.1,1,1,7,Sam Curran,All-Rounders,Quinton de Kock,Batters,0,False,1.0,1,Abu Dhabi,Zayed Cricket Stadium,Large,False,True,7,1,1.1666666666666667,12,10.285714285714285,20,163,151,18.83333333333333,8.017699115044248,0,10,Large,1,lose,2020
1.2,1,2,8,Sam Curran,All-Rounders,Quinton de Kock,Batters,0,False,1.0,1,Abu Dhabi,Zayed Cricket Stadium,Large,False,True,8,1,1.3333333333333333,12,9.0,20,163,151,18.666666666666668,8.089285714285714,0,10,Large,1,lose,2020
1.3,1,3,9,Sam Curran,All-Rounders,Quinton de Kock,Batters,1,False,-0.5,1,Abu Dhabi,Zayed Cricket Stadium,Large,False,True,9,1,1.5,13,8.666666666666666,20,163,150,18.5,8.108108108108109,0,10,Large,1,lose,2020
1.4,1,4,10,Sam Curran,All-Rounders,Rohit Sharma,Batters,4,False,-2.0,1,Abu Dhabi,Zayed Cricket Stadium,Large,False,True,10,1,1.6666666666666663,17,10.2,20,163,146,18.33333333333333,7.963636363636364,0,10,Large,1,lose,2020
