Ball Number,over,ball,Ball,bowler,bowler_role,batsman,batsman_role,Runs,is_wicket,bowler_score,match_id,city,stadium,Stadium_Type,is_extra,legal_delivery,legal_deliveries_count,overs_completed,overs_bowled,total_runs,current_run_rate,total_overs,target,runs_needed,overs_remaining,required_run_rate,wickets_fallen,wickets_in_hand,Ground_Type,innings,result,year
0.1,0,1,1,RP Singh,Bowlers,Lendl Simmons,Batters,1,False,-0.5,1,Mumbai,Wankhede Stadium,Medium,False,True,1,0,0.1666666666666666,1,6.0,20,122,121,19.83333333333333,6.100840336134454,0,10,Medium,1,lose,2016
0.2,0,2,2,RP Singh,Bowlers,Rohit Sharma,Batters,0,False,1.0,1,Mumbai,Wankhede Stadium,Medium,False,True,2,0,0.3333333333333333,1,3.0,20,122,121,19.666666666666668,6.152542372881356,0,10,Medium,1,lose,2016
0.3,0,3,3,RP Singh,Bowlers,Rohit Sharma,Batters,2,False,-1.0,1,Mumbai,Wankhede Stadium,Medium,False,True,3,0,0.5,3,6.0,20,122,119,19.5,6.102564102564102,0,10,Medium,1,lose,2016
0.4,0,4,4,RP Singh,Bowlers,Rohit Sharma,Batters,4,False,-2.0,1,Mumbai,Wankhede Stadium,Medium,False,True,4,0,0.6666666666666666,7,10.5,20,122,115,19.33333333333333,5.948275862068966,0,10,Medium,1,lose,2016
0.5,0,5,5,RP Singh,Bowlers,Rohit Sharma,Batters,1,False,-0.5,1,Mumbai,Wankhede Stadium,Medium,False,True,5,0,0.8333333333333334,8,9.6,20,122,114,19.166666666666668,5.947826086956521,0,10,Medium,1,lose,2016
0.6,0,6,6,RP Singh,Bowlers,Lendl Simmons,Batters,0,False,1.0,1,Mumbai,Wankhede Stadium,Medium,False,True,6,0,1.0,8,8.0,20,122,114,19.0,6.0,0,10,Medium,1,lose,2016
1.1,1,1,7,Ishant Sharma,Bowlers,Rohit Sharma,Batters,0,True,5.0,1,Mumbai,Wankhede Stadium,Medium,False,True,7,1,1.1666666666666667,8,6.857142857142857,20,122,114,18.83333333333333,6.053097345132744,1,9,Medium,1,lose,2016
1.2,1,2,8,Ishant Sharma,Bowlers,Hardik Pandya,All-Rounders,3,False,-1.0,1,Mumbai,Wankhede Stadium,Medium,True,False,7,1,1.1666666666666667,11,9.428571428571429,20,122,111,18.83333333333333,5.893805309734514,1,9,Medium,1,lose,2016
1.2,1,2,9,Ishant Sharma,Bowlers,Hardik Pandya,All-Rounders,0,False,1.0,1,Mumbai,Wankhede Stadium,Medium,False,True,8,1,1.3333333333333333,11,8.25,20,122,111,18.666666666666668,5.946428571428571,1,9,Medium,1,lose,2016
1.3,1,3,10,Ishant Sharma,Bowlers,Hardik Pandya,All-Rounders,0,False,1.0,1,Mumbai,Wankhede Stadium,Medium,False,True,9,1,1.5,11,7.333333333333333,20,122,111,18.5,6.0,1,9,Medium,1,lose,2016
1.4,1,4,11,Ishant Sharma,Bowlers,Hardik Pandya,All-Rounders,0,False,1.0,1,Mumbai,Wankhede Stadium,Medium,False,True,10,1,1.6666666666666663,11,6.6000000000000005,20,122,111,18.33333333333333,6.054545454545455,1,9,Medium,1,lose,2016
1.5,1,5,12,Ishant Sharma,Bowlers,Hardik Pandya,All-Rounders,1,False,-1.0,1,Mumbai,Wankhede Stadium,Medium,True,False,10,1,1.6666666666666663,12,7.200000000000001,20,122,110,18.33333333333333,6.0,1,9,Medium,1,lose,2016
1.5,1,5,13,Ishant Sharma,Bowlers,Hardik Pandya,All-Rounders,0,False,1.0,1,Mumbai,Wankhede Stadium,Medium,False,True,11,1,1.8333333333333333,12,6.545454545454545,20,122,110,18.166666666666668,6.055045871559632,1,9,Medium,1,lose,2016
1.6,1,6,14,Ishant Sharma,Bowlers,Hardik Pandya,All-Rounders,0,False,1.0,1,Mumbai,Wankhede Stadium,Medium,False,True,12,1,2.0,12,6.0,20,122,110,18.0,6.111111111111111,1,9,Medium,1,lose,2016
2.1,2,1,15,RP Singh,Bowlers,Lendl Simmons,Batters,0,False,1.0,1,Mumbai,Wankhede Stadium,Medium,False,True,13,2,2.1666666666666665,12,5.538461538461539,20,122,110,17.833333333333332,6.168224299065421,1,9,Medium,1,lose,2016
2.2,2,2,16,RP Singh,Bowlers,Lendl Simmons,Batters,6,False,-3.0,1,Mumbai,Wankhede Stadium,Medium,False,True,14,2,2.333333333333333,18,7.7142857142857135,20,122,104,17.666666666666668,5.886792452830188,1,9,Medium,1,lose,2016
2.3,2,3,17,RP Singh,Bowlers,Lendl Simmons,Batters,1,False,-0.5,1,Mumbai,Wankhede Stadium,Medium,False,True,15,2,2.5,19,7.6,20,122,103,17.5,5.885714285714286,1,9,Medium,1,lose,2016
2.4,2,4,18,RP Singh,Bowlers,Hardik Pandya,All-Rounders,1,False,-0.5,1,Mumbai,Wankhede Stadium,Medium,False,True,16,2,2.6666666666666665,20,7.5,20,122,102,17.333333333333332,5.884615384615385,1,9,Medium,1,lose,2016
2.5,2,5,19,RP Singh,Bowlers,Lendl Simmons,Batters,0,False,1.0,1,Mumbai,Wankhede Stadium,Medium,False,True,17,2,2.833333333333333,20,7.0588235294117645,20,122,102,17.166666666666668,5.941747572815534,1,9,Medium,1,lose,2016
2.6,2,6,20,RP Singh,Bowlers,Lendl Simmons,Batters,0,False,1.0,1,Mumbai,Wankhede Stadium,Medium,False,True,18,2,3.0,20,6.666666666666667,20,122,102,17.0,6.0,1,9,Medium,1,lose,2016
3.1,3,1,21,Ishant Sharma,Bowlers,Hardik Pandya,All-Rounders,4,False,-2.0,1,Mumbai,Wankhede Stadium,Medium,False,True,19,3,3.1666666666666665,24,7.578947368421053,20,122,98,16.833333333333332,5.821782178217823,1,9,Medium,1,lose,2016
