Ball Number,over,ball,Ball,bowler,bowler_role,batsman,batsman_role,Runs,is_wicket,bowler_score,match_id,city,stadium,Stadium_Type,is_extra,legal_delivery,legal_deliveries_count,overs_completed,overs_bowled,total_runs,current_run_rate,total_overs,target,runs_needed,overs_remaining,required_run_rate,wickets_fallen,wickets_in_hand,Ground_Type,innings,result,year
0.1,0,1,1,Tymal Mills,Bowlers,David Warner,Batters,0,False,1.0,1,Uppal,Rajiv Gandhi International Stadium,Medium,False,True,1,0,0.1666666666666666,0,0.0,20,208,208,19.83333333333333,10.487394957983192,0,10,Medium,1,win,2017
0.2,0,2,2,Tymal Mills,Bowlers,David Warner,Batters,0,False,1.0,1,Uppal,Rajiv Gandhi International Stadium,Medium,False,True,2,0,0.3333333333333333,0,0.0,20,208,208,19.666666666666668,10.576271186440678,0,10,Medium,1,win,2017
0.3,0,3,3,Tymal Mills,Bowlers,David Warner,Batters,4,False,-2.0,1,Uppal,Rajiv Gandhi International Stadium,Medium,False,True,3,0,0.5,4,8.0,20,208,204,19.5,10.461538461538462,0,10,Medium,1,win,2017
0.4,0,4,4,Tymal Mills,Bowlers,David Warner,Batters,0,False,1.0,1,Uppal,Rajiv Gandhi International Stadium,Medium,False,True,4,0,0.6666666666666666,4,6.0,20,208,204,19.33333333333333,10.551724137931036,0,10,Medium,1,win,2017
0.5,0,5,5,Tymal Mills,Bowlers,Shikhar Dhawan,Batters,0,False,1.0,1,Uppal,Rajiv Gandhi International Stadium,Medium,False,True,5,0,0.8333333333333334,4,4.8,20,208,204,19.166666666666668,10.643478260869564,0,10,Medium,1,win,2017
0.5,0,5,6,Tymal Mills,Bowlers,David Warner,Batters,2,False,-1.0,1,Uppal,Rajiv Gandhi International Stadium,Medium,True,False,5,0,0.8333333333333334,6,7.199999999999999,20,208,202,19.166666666666668,10.539130434782608,0,10,Medium,1,win,2017
0.6,0,6,7,Tymal Mills,Bowlers,Shikhar Dhawan,Batters,1,False,-0.25,1,Uppal,Rajiv Gandhi International Stadium,Medium,False,True,6,0,1.0,7,7.0,20,208,201,19.0,10.578947368421051,0,10,Medium,1,win,2017
1.1,1,1,8,Aniket Choudhary,Bowlers,Shikhar Dhawan,Batters,1,False,-0.5,1,Uppal,Rajiv Gandhi International Stadium,Medium,False,True,7,1,1.1666666666666667,8,6.857142857142857,20,208,200,18.83333333333333,10.619469026548671,0,10,Medium,1,win,2017
1.2,1,2,9,Aniket Choudhary,Bowlers,David Warner,Batters,4,False,-2.0,1,Uppal,Rajiv Gandhi International Stadium,Medium,False,True,8,1,1.3333333333333333,12,9.0,20,208,196,18.666666666666668,10.5,0,10,Medium,1,win,2017
1.3,1,3,10,Aniket Choudhary,Bowlers,David Warner,Batters,1,False,-1.0,1,Uppal,Rajiv Gandhi International Stadium,Medium,True,False,8,1,1.3333333333333333,13,9.75,20,208,195,18.666666666666668,10.446428571428571,0,10,Medium,1,win,2017
1.3,1,3,11,Aniket Choudhary,Bowlers,David Warner,Batters,6,False,-3.0,1,Uppal,Rajiv Gandhi International Stadium,Medium,False,True,9,1,1.5,19,12.666666666666666,20,208,189,18.5,10.216216216216216,0,10,Medium,1,win,2017
1.4,1,4,12,Aniket Choudhary,Bowlers,David Warner,Batters,0,True,5.0,1,Uppal,Rajiv Gandhi International Stadium,Medium,False,True,10,1,1.6666666666666663,19,11.4,20,208,189,18.33333333333333,10.30909090909091,1,9,Medium,1,win,2017
1.5,1,5,13,Aniket Choudhary,Bowlers,Moises Henriques,All-Rounders,0,False,1.0,1,Uppal,Rajiv Gandhi International Stadium,Medium,False,True,11,1,1.8333333333333333,19,10.363636363636363,20,208,189,18.166666666666668,10.40366972477064,1,9,Medium,1,win,2017
1.6,1,6,14,Aniket Choudhary,Bowlers,Moises Henriques,All-Rounders,4,False,-2.0,1,Uppal,Rajiv Gandhi International Stadium,Medium,False,True,12,1,2.0,23,11.5,20,208,185,18.0,10.27777777777778,1,9,Medium,1,win,2017
2.1,2,1,15,Tymal Mills,Bowlers,Shikhar Dhawan,Batters,1,False,-0.5,1,Uppal,Rajiv Gandhi International Stadium,Medium,False,True,13,2,2.1666666666666665,24,11.076923076923078,20,208,184,17.833333333333332,10.317757009345796,1,9,Medium,1,win,2017
2.2,2,2,16,Tymal Mills,Bowlers,Moises Henriques,All-Rounders,0,False,1.0,1,Uppal,Rajiv Gandhi International Stadium,Medium,False,True,14,2,2.333333333333333,24,10.285714285714285,20,208,184,17.666666666666668,10.41509433962264,1,9,Medium,1,win,2017
2.3,2,3,17,Tymal Mills,Bowlers,Moises Henriques,All-Rounders,0,False,1.0,1,Uppal,Rajiv Gandhi International Stadium,Medium,False,True,15,2,2.5,24,9.6,20,208,184,17.5,10.514285714285714,1,9,Medium,1,win,2017
2.4,2,4,18,Tymal Mills,Bowlers,Moises Henriques,All-Rounders,3,False,-1.5,1,Uppal,Rajiv Gandhi International Stadium,Medium,False,True,16,2,2.6666666666666665,27,10.125,20,208,181,17.333333333333332,10.442307692307692,1,9,Medium,1,win,2017
2.5,2,5,19,Tymal Mills,Bowlers,Shikhar Dhawan,Batters,1,False,-0.5,1,Uppal,Rajiv Gandhi International Stadium,Medium,False,True,17,2,2.833333333333333,28,9.88235294117647,20,208,180,17.166666666666668,10.485436893203882,1,9,Medium,1,win,2017
2.6,2,6,20,Tymal Mills,Bowlers,Moises Henriques,All-Rounders,1,False,-0.5,1,Uppal,Rajiv Gandhi International Stadium,Medium,False,True,18,2,3.0,29,9.666666666666666,20,208,179,17.0,10.529411764705882,1,9,Medium,1,win,2017
3.1,3,1,21,Yuzvendra Chahal,Bowlers,Moises Henriques,All-Rounders,0,False,1.0,1,Uppal,Rajiv Gandhi International Stadium,Medium,False,True,19,3,3.1666666666666665,29,9.157894736842106,20,208,179,16.833333333333332,10.633663366336634,1,9,Medium,1,win,2017
3.2,3,2,22,Yuzvendra Chahal,Bowlers,Moises Henriques,All-Rounders,1,False,-0.5,1,Uppal,Rajiv Gandhi International Stadium,Medium,False,True,20,3,3.333333333333333,30,9.0,20,208,178,16.666666666666668,10.68,1,9,Medium,1,win,2017
3.3,3,3,23,Yuzvendra Chahal,Bowlers,Shikhar Dhawan,Batters,0,False,1.0,1,Uppal,Rajiv Gandhi International Stadium,Medium,False,True,21,3,3.5,30,8.571428571428571,20,208,178,16.5,10.787878787878787,1,9,Medium,1,win,2017
3.4,3,4,24,Yuzvendra Chahal,Bowlers,Shikhar Dhawan,Batters,1,False,-0.5,1,Uppal,Rajiv Gandhi International Stadium,Medium,False,True,22,3,3.6666666666666665,31,8.454545454545455,20,208,177,16.333333333333332,10.836734693877553,1,9,Medium,1,win,2017
3.5,3,5,25,Yuzvendra Chahal,Bowlers,Moises Henriques,All-Rounders,1,False,-0.5,1,Uppal,Rajiv Gandhi International Stadium,Medium,False,True,23,3,3.8333333333333335,32,8.347826086956522,20,208,176,16.166666666666668,10.886597938144329,1,9,Medium,1,win,2017
