Ball Number,over,ball,Ball,bowler,bowler_role,batsman,batsman_role,Runs,is_wicket,bowler_score,match_id,city,stadium,Stadium_Type,is_extra,legal_delivery,legal_deliveries_count,overs_completed,overs_bowled,total_runs,current_run_rate,total_overs,target,runs_needed,overs_remaining,required_run_rate,wickets_fallen,wickets_in_hand,Ground_Type,innings,result,year
0.1,0,1,1,Umesh Yadav,Bowlers,Rohit Sharma,Batters,0,False,1.0,1,Kolkata,Eden Gardens,Large,False,True,1,0,0.1666666666666666,0,0.0,20,169,169,19.83333333333333,8.521008403361344,0,10,Large,1,lose,2015
0.2,0,2,2,Umesh Yadav,Bowlers,Rohit Sharma,Batters,1,False,-0.5,1,Kolkata,Eden Gardens,Large,False,True,2,0,0.3333333333333333,1,3.0,20,169,168,19.666666666666668,8.542372881355933,0,10,Large,1,lose,2015
0.3,0,3,3,Umesh Yadav,Bowlers,Aaron Finch,Batters,1,False,-0.5,1,Kolkata,Eden Gardens,Large,False,True,3,0,0.5,2,4.0,20,169,167,19.5,8.564102564102564,0,10,Large,1,lose,2015
0.4,0,4,4,Umesh Yadav,Bowlers,Rohit Sharma,Batters,1,False,-0.5,1,Kolkata,Eden Gardens,Large,False,True,4,0,0.6666666666666666,3,4.5,20,169,166,19.33333333333333,8.586206896551724,0,10,Large,1,lose,2015
0.5,0,5,5,Umesh Yadav,Bowlers,Aaron Finch,Batters,1,False,-0.25,1,Kolkata,Eden Gardens,Large,False,True,5,0,0.8333333333333334,4,4.8,20,169,165,19.166666666666668,8.608695652173912,0,10,Large,1,lose,2015
0.6,0,6,6,Umesh Yadav,Bowlers,Rohit Sharma,Batters,0,False,1.0,1,Kolkata,Eden Gardens,Large,False,True,6,0,1.0,4,4.0,20,169,165,19.0,8.68421052631579,0,10,Large,1,lose,2015
1.1,1,1,7,Morne Morkel,Bowlers,Aaron Finch,Batters,4,False,-2.0,1,Kolkata,Eden Gardens,Large,False,True,7,1,1.1666666666666667,8,6.857142857142857,20,169,161,18.83333333333333,8.548672566371682,0,10,Large,1,lose,2015
1.2,1,2,8,Morne Morkel,Bowlers,Aaron Finch,Batters,0,False,1.0,1,Kolkata,Eden Gardens,Large,False,True,8,1,1.3333333333333333,8,6.0,20,169,161,18.666666666666668,8.625,0,10,Large,1,lose,2015
1.3,1,3,9,Morne Morkel,Bowlers,Aaron Finch,Batters,0,True,5.0,1,Kolkata,Eden Gardens,Large,False,True,9,1,1.5,8,5.333333333333333,20,169,161,18.5,8.702702702702704,1,9,Large,1,lose,2015
1.4,1,4,10,Morne Morkel,Bowlers,Rohit Sharma,Batters,0,False,1.0,1,Kolkata,Eden Gardens,Large,False,True,10,1,1.6666666666666663,8,4.800000000000001,20,169,161,18.33333333333333,8.781818181818183,1,9,Large,1,lose,2015
1.5,1,5,11,Morne Morkel,Bowlers,Rohit Sharma,Batters,0,False,1.0,1,Kolkata,Eden Gardens,Large,False,True,11,1,1.8333333333333333,8,4.363636363636363,20,169,161,18.166666666666668,8.862385321100916,1,9,Large,1,lose,2015
1.6,1,6,12,Morne Morkel,Bowlers,Rohit Sharma,Batters,1,False,-0.5,1,Kolkata,Eden Gardens,Large,False,True,12,1,2.0,9,4.5,20,169,160,18.0,8.88888888888889,1,9,Large,1,lose,2015
