Ball,Ball Number,Bowler,Batsman,Runs,is_wicket,bowler_good,Description,match_id,city,total_runs,over,ball_in_over,continuous_ball_index,overs_bowled,overs_completed,balls_in_current_over,actual_over_ball,is_original_ball_number,current_run_rate,total_overs,target,runs_needed,overs_remaining,required_run_rate,wickets_fallen,wickets_in_hand
1,0.1,Behrendorff,Saha,0,False,1,slants a short of length ball across Saha who hops back and defends into the off side,57,Wankhede,0,0,1,0,0.16666666666666666,0,1,0.1,True,0.0,20,219,219,19.833333333333332,11.042016806722689,0,10
2,0.2,Behrendorff,Saha,1,False,0,"hits hard length, the line is on middle and leg, Saha tucks it wide of midwicket and gets off the mark",57,Wankhede,1,0,2,1,0.3333333333333333,0,2,0.2,True,1.0,20,219,218,19.666666666666668,11.084745762711863,0,10
3,0.3,Behrendorff,Gill,1,False,0,pings the middle of the bat as Gill wrists this short of length delivery to deep square,57,Wankhede,2,0,3,2,0.5,0,3,0.3,True,2.0,20,219,217,19.5,11.128205128205128,0,10
4,0.4,Behrendorff,Saha,1,False,0,"gets some late inward movement on this full delivery from outside off, Saha attempts a drive and squeezes one off the inner half of the bat to mid-on",57,Wankhede,3,0,4,3,0.6666666666666666,0,4,0.4,True,3.0,20,219,216,19.333333333333332,11.172413793103448,0,10
5,0.5,Behrendorff,Gill,1,False,0,"full and swinging back into middle and leg, Gill works it off his pads past midwicket",57,Wankhede,4,0,5,4,0.8333333333333334,0,5,0.5,True,4.0,20,219,215,19.166666666666668,11.217391304347826,0,10
6,0.6,Behrendorff,Saha,0,False,1,"excellent. Length and nipping back into middle, defended back. Top over.",57,Wankhede,4,0,6,5,1.0,0,6,0.6,True,4.0,20,219,215,19.0,11.31578947368421,0,10
7,1.1,Madhwal,Gill,0,False,1,"late movement away as Gill looks to cut a fullish delivery, beaten.",57,Wankhede,4,1,1,6,1.1666666666666667,1,1,1.1,True,3.4285714285714284,20,219,215,18.833333333333332,11.415929203539823,0,10
8,1.2,Madhwal,Gill,2,False,0,"lends direction to this short and wide delivery, steered into the gap at deep point for a couple",57,Wankhede,6,1,2,7,1.3333333333333333,1,2,1.2,True,4.5,20,219,213,18.666666666666668,11.410714285714285,0,10
9,1.3,Madhwal,Gill,0,False,1,"excellent from Madhwal. Bowls a full'ish line around fourth-stump, Gill bunts it into the off side",57,Wankhede,6,1,3,8,1.5,1,3,1.3,True,4.0,20,219,213,18.5,11.513513513513514,0,10
10,1.4,Madhwal,Gill,1,False,0,punched to mid-on as they scamper a single. Tight line and length from Madhwal,57,Wankhede,7,1,4,9,1.6666666666666667,1,4,1.4,True,4.2,20,219,212,18.333333333333332,11.563636363636364,0,10
