Ball,Ball Number,Bowler,Batsman,Runs,is_wicket,bowler_good,Description,match_id,city,total_runs,over,ball_in_over,continuous_ball_index,overs_bowled,overs_completed,balls_in_current_over,actual_over_ball,is_original_ball_number,current_run_rate,total_overs,target,runs_needed,overs_remaining,required_run_rate,wickets_fallen,wickets_in_hand
1,0.1,Harshit Rana,Abhishek,4,False,0,"full and wide, Abhishek tucks into a lofted drive clearing cover easily before bouncing over the rope.",47,Hyderabad,4,0,1,0,0.16666666666666666,0,1,0.1,True,4.0,20,172,168,19.833333333333332,8.470588235294118,0,10
2,0.2,Harshit Rana,Abhishek,1,False,0,"back of a length on the hips, flicked straight to deep fine leg for one.",47,Hyderabad,5,0,2,1,0.3333333333333333,0,2,0.2,True,5.0,20,172,167,19.666666666666668,8.491525423728813,0,10
3,0.3,Harshit Rana,Agarwal,2,False,0,"good length ball on fifth stump, goes to flick through mid-on and a thick inside edge goes to deep fine leg for two.",47,Hyderabad,7,0,3,2,0.5,0,3,0.3,True,7.0,20,172,165,19.5,8.461538461538462,0,10
4,0.4,Harshit Rana,Agarwal,0,False,1,"good length ball on the hips, goes back to flick and misses off the pads before it caroms to cover for a leg bye.",47,Hyderabad,7,0,4,3,0.6666666666666666,0,4,0.4,True,7.0,20,172,165,19.333333333333332,8.53448275862069,0,10
5,0.5,Harshit Rana,Abhishek,0,False,1,"back of a length on fifth stump, defended to extra cover.",47,Hyderabad,7,0,5,4,0.8333333333333334,0,5,0.5,True,7.0,20,172,165,19.166666666666668,8.608695652173912,0,10
6,0.6,Harshit Rana,Abhishek,0,False,1,"back of a length on fifth stump, defended to the off side.",47,Hyderabad,7,0,6,5,1.0,0,6,0.6,True,7.0,20,172,165,19.0,8.68421052631579,0,10
7,1.1,Arora,Agarwal,0,False,1,"full on eighth stump, strides forward and punches firmly straight to extra cover on the ring.",47,Hyderabad,7,1,1,6,1.1666666666666667,1,1,1.1,True,6.0,20,172,165,18.833333333333332,8.761061946902656,0,10
8,1.2,Arora,Agarwal,1,False,0,goes for yorker and sends down a shin high full toss on middle that is shoveled to Nitish Rana at mid-off. He spills the ball at neck height while trying to hurry a catch and throw all in one motion to deny a single off the free hit and they take it comfortably.,47,Hyderabad,8,1,2,7,1.3333333333333333,1,2,1.2,True,6.0,20,172,164,18.666666666666668,8.785714285714285,0,10
9,1.3,Arora,Abhishek,0,False,1,"back of a length on the legs, misses a flick and it comes off the pads to square leg for one.",47,Hyderabad,8,1,3,8,1.5,1,3,1.3,True,5.333333333333333,20,172,164,18.5,8.864864864864865,0,10
10,1.4,Arora,Agarwal,1,False,0,"length ball on seventh stump, slapped along the ground to a cover sweeper for one.",47,Hyderabad,9,1,4,9,1.6666666666666667,1,4,1.4,True,5.3999999999999995,20,172,163,18.333333333333332,8.89090909090909,0,10
11,1.5,Arora,Abhishek,1,False,0,"length ball on fifth stump, punched through cover for one.",47,Hyderabad,10,1,5,10,1.8333333333333333,1,5,1.5,True,5.454545454545455,20,172,162,18.166666666666668,8.91743119266055,0,10
