Ball,Ball Number,Bowler,Batsman,Runs,is_wicket,bowler_good,Description,match_id,total_runs,over,ball_in_over,continuous_ball_index,overs_bowled,overs_completed,balls_in_current_over,actual_over_ball,is_original_ball_number,current_run_rate,total_overs,target,runs_needed,overs_remaining,required_run_rate,wickets_fallen,wickets_in_hand
37,10.1,Jadeja,Hardik,0,False,1,"tossed up outside off, hit straight to extra cover",1,0,10,1,0,0.16666666666666666,0,1,0.1,True,0.0,20,179,179,19.833333333333332,9.025210084033613,0,10
38,10.2,Jadeja,Hardik,1,False,0,"moves straighter, pushed with an open face for one",1,1,10,2,1,0.3333333333333333,0,2,0.2,True,1.0,20,179,178,19.666666666666668,9.050847457627118,0,10
39,10.3,Jadeja,Gill,1,False,0,clipped off the toes to deep midwicket,1,2,10,3,2,0.5,0,3,0.3,True,2.0,20,179,177,19.5,9.076923076923077,0,10
40,10.4,Jadeja,Hardik,1,False,0,"angled into the pads, punched down to wide long-on for one",1,3,10,4,3,0.6666666666666666,0,4,0.4,True,3.0,20,179,176,19.333333333333332,9.10344827586207,0,10
41,10.5,Jadeja,Gill,4,False,0,"fired into the pads again, well down leg, and the sweeping Gill gets just enough bat on it to beat short fine leg",1,7,10,5,4,0.8333333333333334,0,5,0.5,True,7.0,20,179,172,19.166666666666668,8.97391304347826,0,10
42,10.6,Jadeja,Gill,6,False,0,"that's a Gill special. Down the wicket, makes room too, and goes over extra cover for a flat six. Jadeja is not turning it, and Gill is cashing in",1,13,10,6,5,1.0,0,6,0.6,True,13.0,20,179,166,19.0,8.736842105263158,0,10
43,11.1,Santner,Hardik,1,False,0,"on a length, going down, gets as single to long leg",1,14,11,1,6,1.1666666666666667,1,1,1.1,True,12.0,20,179,165,18.833333333333332,8.761061946902656,0,10
44,11.2,Santner,Gill,1,False,0,"that's fifty for Gill. Santner slows it down, but Gill goes back to cut it to deep cover for one",1,15,11,2,7,1.3333333333333333,1,2,1.2,True,11.25,20,179,164,18.666666666666668,8.785714285714285,0,10
45,11.3,Santner,Hardik,1,False,0,pushed towards long-off for one,1,16,11,3,8,1.5,1,3,1.3,True,10.666666666666666,20,179,163,18.5,8.81081081081081,0,10
46,11.4,Santner,Gill,1,False,0,goes back to punch this length ball to deep cover,1,17,11,4,9,1.6666666666666667,1,4,1.4,True,10.2,20,179,162,18.333333333333332,8.836363636363638,0,10
47,11.5,Santner,Hardik,0,False,1,"slows it down, gets nice drift, beats his attempt to sweep",1,17,11,5,10,1.8333333333333333,1,5,1.5,True,9.272727272727273,20,179,162,18.166666666666668,8.91743119266055,0,10
