Ball,Ball Number,Bowler,Batsman,Runs,is_wicket,bowler_good,Description,match_id,total_runs,over,ball_in_over,continuous_ball_index,overs_bowled,overs_completed,balls_in_current_over,actual_over_ball,is_original_ball_number,current_run_rate,total_overs,target,runs_needed,overs_remaining,required_run_rate,wickets_fallen,wickets_in_hand
1,0.1,Siraj,Mayers,0,False,1,"Back of a length on middle, jagging back into him and Mayers cops one in the box! Ouch!",15,0,0,1,0,0.16666666666666666,0,1,0.1,True,0.0,20,213,213,19.833333333333332,10.739495798319329,0,10
2,0.2,Siraj,Mayers,0,False,1,Raps him on the pad as Siraj gets a length ball around leg to jag back in. He appeals but the umpire isn't interested. Could have pitched outside leg and pssibly sliding down as well,15,0,0,2,1,0.3333333333333333,0,2,0.2,True,0.0,20,213,213,19.666666666666668,10.83050847457627,0,10
3,0.3,Siraj,Mayers,0,True,1,"Castled!It's the sweet sound of timber and Siraj is pumped! Bangs it in back of a length on middle, goes across this time but cramps him for room and Mayers chops on. He is the form player and that's a good early wicket for RCB",15,0,0,3,2,0.5,0,3,0.3,True,0.0,20,213,213,19.5,10.923076923076923,1,9
4,0.4,Siraj,Hooda,0,False,1,"On a length on off, Hooda gets in line to block",15,0,0,4,3,0.6666666666666666,0,4,0.4,True,0.0,20,213,213,19.333333333333332,11.017241379310345,1,9
5,0.5,Siraj,Hooda,0,False,1,"Pitches it up fuller this time, outside off and Hooda drives to point",15,0,0,5,4,0.8333333333333334,0,5,0.5,True,0.0,20,213,213,19.166666666666668,11.113043478260868,1,9
6,0.6,Siraj,Hooda,0,False,1,"On a length on off and angling in, Hooda goes across to flick it away but misses. Doesn't matter for LSG, though, as it goes off his thigh to the fine leg boundary",15,0,0,6,5,1.0,0,6,0.6,True,0.0,20,213,213,19.0,11.210526315789474,1,9
7,1.1,Willey,Rahul,0,False,1,"On a length on off, hint of shape into the right-hander, and Rahul defends towards point",15,0,1,1,6,1.1666666666666667,1,1,1.1,True,0.0,20,213,213,18.833333333333332,11.309734513274337,1,9
8,1.2,Willey,Rahul,1,False,0,A quick single to midwicket. This was on a length on leg and he clips it to the fielder and takes off immediately. A direct hit would have seen Rahul on his way back but the fielder misses his throw,15,1,1,2,7,1.3333333333333333,1,2,1.2,True,0.75,20,213,212,18.666666666666668,11.357142857142856,1,9
9,1.3,Willey,Hooda,1,False,0,"Pitches it up outside off, Hooda drives it wide of mid-off for another quick single",15,2,1,3,8,1.5,1,3,1.3,True,1.3333333333333333,20,213,211,18.5,11.405405405405405,1,9
10,1.4,Willey,Rahul,1,False,0,"On a length on off, Rahul punches it down the ground past the bowler and du Plessis does well to cut it out from mid-off",15,3,1,4,9,1.6666666666666667,1,4,1.4,True,1.7999999999999998,20,213,210,18.333333333333332,11.454545454545455,1,9
