Ball,Ball Number,Bowler,Batsman,Runs,is_wicket,bowler_good,Description,match_id,city,total_runs,over,ball_in_over,continuous_ball_index,overs_bowled,overs_completed,balls_in_current_over,actual_over_ball,is_original_ball_number,current_run_rate,total_overs,target,runs_needed,overs_remaining,required_run_rate,wickets_fallen,wickets_in_hand
1,0.1,Shami,Gaikwad,0,False,1,"full on off stump, a hint of away shape, good stride forward for a crisp push-drive to mid-off",74,Ahmedabad,0,0,1,0,0.16666666666666666,0,1,0.1,True,0.0,20,171,171,19.833333333333332,8.6218487394958,0,10
2,0.2,Shami,Gaikwad,0,False,1,"length ball close to off stump, defended into the covers",74,Ahmedabad,0,0,2,1,0.3333333333333333,0,2,0.2,True,0.0,20,171,171,19.666666666666668,8.694915254237287,0,10
3,0.3,Shami,Gaikwad,4,False,0,"lovely shot to get CSK off the mark. Length ball again, a bit more width on this occasion, and Gaikwad presses forward before opening his bat face to ease the ball between point and backward point",74,Ahmedabad,4,0,3,2,0.5,0,3,0.3,True,4.0,20,171,167,19.5,8.564102564102564,0,10
4,0.4,Shami,Gaikwad,2,False,0,"fullish, angling into the pads, and there's some late movement away, off the pitch, as Gaikwad attempts the flick. Leading edge flies in the air and bounces down to the right of deep backward point",74,Ahmedabad,6,0,4,3,0.6666666666666666,0,4,0.4,True,6.0,20,171,165,19.333333333333332,8.53448275862069,0,10
5,0.5,Shami,Gaikwad,0,False,1,"length ball outside off, presses forward and punches firmly to short extra-cover",74,Ahmedabad,6,0,5,4,0.8333333333333334,0,5,0.5,True,6.0,20,171,165,19.166666666666668,8.608695652173912,0,10
6,0.6,Shami,Gaikwad,4,False,0,"shot! That's not particularly short, and it only gets up to about thigh height, but Gaikwad swivels quickly on his back foot and pulls it along the floor, placing it a long way to the left of long leg",74,Ahmedabad,10,0,6,5,1.0,0,6,0.6,True,10.0,20,171,161,19.0,8.473684210526315,0,10
7,1.1,Hardik,Conway,0,False,1,"length ball angling across to finish close to off stump, gets forward and pushes to the left of point, who moves quickly to cut off the single",74,Ahmedabad,10,1,1,6,1.1666666666666667,1,1,1.1,True,8.571428571428571,20,171,161,18.833333333333332,8.548672566371682,0,10
8,1.2,Hardik,Conway,6,False,0,"first six of the innings, and it's a top shot from Conway. Steps out, steps away to the leg side to create room, and slices this ball, with the angle, over cover point and all the way for six",74,Ahmedabad,16,1,2,7,1.3333333333333333,1,2,1.2,True,12.0,20,171,155,18.666666666666668,8.303571428571429,0,10
9,1.3,Hardik,Conway,1,False,0,steps out again and Hardik shortens his length while following Conway's movement to the leg side. Defended into the mid-off region,74,Ahmedabad,17,1,3,8,1.5,1,3,1.3,True,11.333333333333334,20,171,154,18.5,8.324324324324325,0,10
10,1.4,Hardik,Gaikwad,1,False,0,"back of a length, nips back in towards off stump. Looks to dab into the point region with an open face, gets a thick inside edge into the backward square leg region",74,Ahmedabad,18,1,4,9,1.6666666666666667,1,4,1.4,True,10.799999999999999,20,171,153,18.333333333333332,8.345454545454546,0,10
11,1.5,Hardik,Conway,4,False,0,"delivers one on the pads now, and Conway just whips it away fine, too file for long leg to be able to cut it off. Just the kind of over CSK needed to get themselves going",74,Ahmedabad,22,1,5,10,1.8333333333333333,1,5,1.5,True,12.0,20,171,149,18.166666666666668,8.20183486238532,0,10
12,1.6,Hardik,Conway,1,False,0,shuffles out to this length ball finishing near the top of off stump. Opens his bat face to dab to the right of backward point for a quick single,74,Ahmedabad,23,1,6,11,2.0,1,6,1.6,True,11.5,20,171,148,18.0,8.222222222222221,0,10
61,10.1,Mohit,Dube,1,False,0,"back of a length, angling away from off stump, flat-batted along the ground to the right of long-on",74,Ahmedabad,24,10,1,12,2.1666666666666665,2,1,2.1,True,11.076923076923078,20,171,147,17.833333333333332,8.242990654205608,0,10
62,10.2,Mohit,Rahane,1,False,0,"slower ball on the pads, clipped to the left of short fine leg. No pace to work with at all",74,Ahmedabad,25,10,2,13,2.3333333333333335,2,2,2.2,True,10.714285714285714,20,171,146,17.666666666666668,8.264150943396226,0,10
63,10.3,Mohit,Dube,2,False,0,"slower ball slanting away from the left-hander and landing wide of off stump. Dube is in position for the big hit weeks before thre ball reaches him, and in the end he just lets the ball hit his bat, bewildered, and the ball loops over the bowler's head and lands roughly where he began his run-up",74,Ahmedabad,27,10,3,14,2.5,2,3,2.3,True,10.8,20,171,144,17.5,8.228571428571428,0,10
64,10.4,Mohit,Dube,1,False,0,"goes short and into the pitch, offcutter finishing chest high just outside off. Pulled along the ground to deep midwicket",74,Ahmedabad,28,10,4,15,2.6666666666666665,2,4,2.4,True,10.5,20,171,143,17.333333333333332,8.25,0,10
65,10.5,Mohit,Rahane,0,True,1,"gone. Mohit's lack of pace gets another wicket. Back of a length, outside off, it's there for the slash over point in everry way except it's the back-of-the-hand slowie. Stops on Rahane, and he ends up punching it in the air and straight to the man at deep point",74,Ahmedabad,28,10,5,16,2.8333333333333335,2,5,2.5,True,9.88235294117647,20,171,143,17.166666666666668,8.33009708737864,1,9
66,10.6,Mohit,Rayudu,1,False,0,"quick length ball nipping in towards middle stump, and Rayudu gets forward for a punch to long-on",74,Ahmedabad,29,10,6,17,3.0,2,6,2.6,True,9.666666666666666,20,171,142,17.0,8.352941176470589,1,9
67,11.1,Rashid Khan,Rayudu,1,False,0,"short outside off, turns away further. Pulled along the ground to deep midwicket",74,Ahmedabad,30,11,1,18,3.1666666666666665,3,1,3.1,True,9.473684210526317,20,171,141,16.833333333333332,8.376237623762377,1,9
68,11.2,Rashid Khan,Dube,1,False,0,"flat length ball straightening from an off-stumpish line. Looks to go over the top, but loses his shape and ends up dragging it to deep midwicket, all along the floor",74,Ahmedabad,31,11,2,19,3.3333333333333335,3,2,3.2,True,9.299999999999999,20,171,140,16.666666666666668,8.399999999999999,1,9
69,11.3,Rashid Khan,Rayudu,0,False,1,"quick legbreak outside off, goes back and punches it back to the bowler",74,Ahmedabad,31,11,3,20,3.5,3,3,3.3,True,8.857142857142858,20,171,140,16.5,8.484848484848484,1,9
70,11.4,Rashid Khan,Rayudu,1,False,0,"full now, too full to get underneath, driven along the ground to long-off",74,Ahmedabad,32,11,4,21,3.6666666666666665,3,4,3.4,True,8.727272727272728,20,171,139,16.333333333333332,8.510204081632654,1,9
71,11.5,Rashid Khan,Dube,6,False,0,"finally, Dube finds some rhythm. Wrong'un, turning away from off stump, and it lands just a touch too full from Rashid. It's in Dube's arc, and he clears his front leg, keeps his head still, and hits it clean and flat over the straight long-on boundary",74,Ahmedabad,38,11,5,22,3.8333333333333335,3,5,3.5,True,9.91304347826087,20,171,133,16.166666666666668,8.22680412371134,1,9
72,11.6,Rashid Khan,Dube,6,False,0,"six more. Dube has arrived alright. This is a legbreak straightening towards off stump, and again it's in Dube's hitting arc. Clears that front leg again, and hits this one higher but just as cleanly, all the way over long-on",74,Ahmedabad,44,11,6,23,4.0,3,6,3.6,True,11.0,20,171,127,16.0,7.9375,1,9
73,12.1,Mohit,Rayudu,6,False,0,"trademark Rayudu shot. Mohit bowls a rare slot ball. It's a slower ball but it's the wrong length, and Rayudu steps leg side to create hitting room, and launches it high over long-off",74,Ahmedabad,50,12,1,24,4.166666666666667,4,1,4.1,True,12.0,20,171,121,15.833333333333332,7.642105263157895,1,9
74,12.2,Mohit,Rayudu,4,False,0,"Four more, and Rayudu is finishing in style. Another error from Mohit. Full-toss outside off, and Rayudu lashes it to the right of the diving extra-cover fielder",74,Ahmedabad,54,12,2,25,4.333333333333333,4,2,4.2,True,12.461538461538462,20,171,117,15.666666666666668,7.468085106382978,1,9
75,12.3,Mohit,Rayudu,6,False,0,"terrific shot. Stunning. Back of a length outside off, and Rayudu sits on the back foot, deep in his crease, and launches it with a  straight bat over the long-off boundary, finishing with his bat following through over his left shoulder. Incredible",74,Ahmedabad,60,12,3,26,4.5,4,3,4.3,True,13.333333333333334,20,171,111,15.5,7.161290322580645,1,9
76,12.4,Mohit,Rayudu,0,True,1,"gone, but what a terrific little cameo to end his IPL career. Quick, hard length, on the stumps, and Rayudu, looking to go over long-on, ends up slicing the ball with his bat turning in his hand. No distance on it, and he pops back the simplest of return catches",74,Ahmedabad,60,12,4,27,4.666666666666667,4,4,4.4,True,12.857142857142856,20,171,111,15.333333333333332,7.239130434782609,2,8
77,12.5,Mohit,Dhoni,0,True,1,"and he's gone first ball! He was out caught at extra-cover in Qualifer 1, and he's out caught at extra-cover in the final. Full, it's there to drive over extra-cover, but he doesn't get the elevation he wants, and the ball ends up in the safe hands of David Miller. What a moment",74,Ahmedabad,60,12,5,28,4.833333333333333,4,5,4.5,True,12.413793103448276,20,171,111,15.166666666666668,7.318681318681318,3,7
78,12.6,Mohit,Jadeja,1,False,0,"full, slanting away from off stump, driven with an open face to the right of deep point",74,Ahmedabad,61,12,6,29,5.0,4,6,4.6,True,12.2,20,171,110,15.0,7.333333333333333,3,7
79,13.1,Shami,Jadeja,1,False,0,"full, angling in to finish just outside off, driven to long-off",74,Ahmedabad,62,13,1,30,5.166666666666667,5,1,5.1,True,12.0,20,171,109,14.833333333333332,7.348314606741574,3,7
80,13.2,Shami,Dube,0,False,1,"short, angling across to finish in the corridor. Thinks of the uppercut, decides against it in the end, hoping for a wide. It isn't a wide",74,Ahmedabad,62,13,2,31,5.333333333333333,5,2,5.2,True,11.625,20,171,109,14.666666666666668,7.431818181818182,3,7
81,13.3,Shami,Dube,2,False,0,"another good short ball, ending up over Dube's back shoulder. Difficult to control the pull from there, and he ends up hitting it in the air, but lands it in the wide spaces between short fine and deep backward square leg",74,Ahmedabad,64,13,3,32,5.5,5,3,5.3,True,11.636363636363637,20,171,107,14.5,7.379310344827586,3,7
82,13.4,Shami,Dube,2,False,0,"in the blockhole, angling in towards off stump, clipped to the right of deep midwicket",74,Ahmedabad,66,13,4,33,5.666666666666667,5,4,5.4,True,11.647058823529411,20,171,105,14.333333333333332,7.325581395348838,3,7
83,13.5,Shami,Dube,1,False,0,"length ball, angling in towards off stump, ends up a little cramped for room even though he clears his front leg. Drags a swipe to deep backward square leg off the inside half of his bat",74,Ahmedabad,67,13,5,34,5.833333333333333,5,5,5.5,True,11.485714285714286,20,171,104,14.166666666666668,7.341176470588235,3,7
84,13.6,Shami,Jadeja,2,False,0,"full-toss, low full-toss, angling in towards off stump, and Jadeja completely mishits it. Looks to go over long-on, and ends up scooping it towards deep backward square leg. Noor runs in quickly off the rope and dives forward, but he can't reach the ball in time",74,Ahmedabad,69,13,6,35,6.0,5,6,5.6,True,11.5,20,171,102,14.0,7.285714285714286,3,7
85,14.1,Mohit,Dube,0,False,1,"perfect off-stump yorker, and all Dube can do is get his front leg out of the way and jam his bat down. Jabbed straight back to the bowler",74,Ahmedabad,69,14,1,36,6.166666666666667,6,1,6.1,True,11.18918918918919,20,171,102,13.833333333333332,7.373493975903615,3,7
86,14.2,Mohit,Dube,1,False,0,"another excellent blockhole ball, slanting across to off stump. This time Dube manages to jab it for a single down to long-off",74,Ahmedabad,70,14,2,37,6.333333333333333,6,2,6.2,True,11.052631578947368,20,171,101,13.666666666666668,7.390243902439024,3,7
87,14.3,Mohit,Jadeja,1,False,0,"low, unhittable full-toss on leg stump. Clears his front leg, and he tries to manufacture some sort of elevation but all he can do is hit it to long-on, on the bounce, for a single",74,Ahmedabad,71,14,3,38,6.5,6,3,6.3,True,10.923076923076923,20,171,100,13.5,7.407407407407407,3,7
88,14.4,Mohit,Dube,1,False,0,"low full-toss slanting away from off stump, and again it's too low for any elevation. Goes down the ground, hits it on the bounce to long-off. Another single",74,Ahmedabad,72,14,4,39,6.666666666666667,6,4,6.4,True,10.799999999999999,20,171,99,13.333333333333332,7.425000000000001,3,7
89,14.5,Mohit,Jadeja,6,False,0,"SIX! You only have to miss the yorker by a few inches, and you disappear. Looks for the stump yorker, lands it slightly short of where he's aiming, and ends up offering a slot ball that Jadeja launches over long-on, clean and flat. Stunning",74,Ahmedabad,78,14,5,40,6.833333333333333,6,5,6.5,True,11.414634146341465,20,171,93,13.166666666666668,7.063291139240506,3,7
90,14.6,Mohit,Jadeja,4,False,0,"Jadeja's done it! CSK have won their fifth IPL title!CSK's players run onto the field as one, but MS Dhoni remains in the dugout, eyes closed. An incredible final over from Mohit Sharma ends with two marginal errors. First, an error of length, ended up as a straight six. Then an error of line. Low full-toss, but it's on the pads, and Jadeja swings at it and gets enough bat on it to get it into the gap, fine of short fine leg. What a match. Shame it's been shortened by rain, but the finish has been worth everything that went before",74,Ahmedabad,82,14,6,41,7.0,6,6,6.6,True,11.714285714285714,20,171,89,13.0,6.846153846153846,3,7
13,2.1,Shami,Conway,4,False,0,"shot. Back of a length ball angling in to finish around fourth stump, and Conway presses forwarfd and swats it between mid-on and midwicket",74,Ahmedabad,86,2,1,42,7.166666666666667,7,1,7.1,True,12.0,20,171,85,12.833333333333332,6.623376623376624,3,7
14,2.2,Shami,Conway,4,False,0,"four more. Superb wristwork on this occasion. Uses the round-the-wicket angle expertly, meets this length ball on an off-stumpish line and whips it behind square, in the air, beats deep backward square leg sprinting to his left",74,Ahmedabad,90,2,2,43,7.333333333333333,7,2,7.2,True,12.272727272727273,20,171,81,12.666666666666668,6.394736842105263,3,7
15,2.3,Shami,Conway,1,False,0,"steps out, steps leg-side, and gets leg-side of a leg-stump ball to slice it to the right of deep backward point",74,Ahmedabad,91,2,3,44,7.5,7,3,7.3,True,12.133333333333333,20,171,80,12.5,6.4,3,7
16,2.4,Shami,Gaikwad,0,False,1,"past the edge! Back of a length in the corridor, and it nips away with extra bounce as Gaikwad looks to jab it away square without moving his feet",74,Ahmedabad,91,2,4,45,7.666666666666667,7,4,7.4,True,11.869565217391305,20,171,80,12.333333333333332,6.486486486486487,3,7
17,2.5,Shami,Gaikwad,1,False,0,length ball straightening towards the top of off stump. Stays leg side of the ball and manufactures a soft-hands single into the off side,74,Ahmedabad,92,2,5,46,7.833333333333333,7,5,7.5,True,11.74468085106383,20,171,79,12.166666666666668,6.493150684931506,3,7
18,2.6,Shami,Conway,1,False,0,"length ball on the pads, clipped to deep backward square leg",74,Ahmedabad,93,2,6,47,8.0,7,6,7.6,True,11.625,20,171,78,12.0,6.5,3,7
19,3.1,Rashid Khan,Conway,4,False,0,"shot! Makes room to a slightly short-of-length ball straightening towards off stump, and punches it brilliantly to find the gap to the left of backward point",74,Ahmedabad,97,3,1,48,8.166666666666666,8,1,8.1,True,11.877551020408164,20,171,74,11.833333333333334,6.253521126760563,3,7
20,3.2,Rashid Khan,Conway,0,False,1,"senses that he'll try and make room again and fires a quick legbreak at the pads. Misses the flick, and gets a leg bye into the off side. Lbw appeal is quickly aborted because it pitched outside leg, hit the pad outside leg, and was missing leg stump on a second set of imaginary stumps",74,Ahmedabad,97,3,2,49,8.333333333333334,8,2,8.2,True,11.639999999999999,20,171,74,11.666666666666666,6.342857142857143,3,7
21,3.3,Rashid Khan,Gaikwad,1,False,0,steps out to a ball turning from leg to middle and pushes inside-out towards cover,74,Ahmedabad,98,3,3,50,8.5,8,3,8.3,True,11.529411764705882,20,171,73,11.5,6.3478260869565215,3,7
22,3.4,Rashid Khan,Conway,1,False,0,"premeditates a sweep to a ball that's too short for the stroke, and he's beaten and smacked in the chest for his troubles. Picks up a leg bye, though",74,Ahmedabad,99,3,4,51,8.666666666666666,8,4,8.4,True,11.423076923076923,20,171,72,11.333333333333334,6.352941176470588,3,7
23,3.5,Rashid Khan,Gaikwad,6,False,0,"bam. CSK are getting off to a great start here. Wrong'un from Rashid, on the fuller side, and he gets his front leg out of the way to manufacture room and launch it sweetly over mid-off",74,Ahmedabad,105,3,5,52,8.833333333333334,8,5,8.5,True,11.886792452830187,20,171,66,11.166666666666666,5.91044776119403,3,7
24,3.6,Rashid Khan,Gaikwad,4,False,0,"just a touch short, legbreak turning away from off stump, and Gaikwad makes room for the square-cut and beats backward point diving to his right",74,Ahmedabad,109,3,6,53,9.0,8,6,8.6,True,12.11111111111111,20,171,62,11.0,5.636363636363637,3,7
25,4.1,Noor Ahmad,Conway,2,False,0,"back of a length wide of off stump, reaches out and stabs to the right of deep backward point",74,Ahmedabad,111,4,1,54,9.166666666666666,9,1,9.1,True,12.10909090909091,20,171,60,10.833333333333334,5.538461538461538,3,7
26,4.2,Noor Ahmad,Conway,0,False,1,"looks to make room and the wrong'un follows him, keeps a bit low too. Punched back to the bowler off the back foot",74,Ahmedabad,111,4,2,55,9.333333333333334,9,2,9.2,True,11.892857142857142,20,171,60,10.666666666666666,5.625,3,7
27,4.3,Noor Ahmad,Conway,1,False,0,"full outside off, too full to get underneath. Driven down to long-off, all along the ground",74,Ahmedabad,112,4,3,56,9.5,9,3,9.3,True,11.789473684210526,20,171,59,10.5,5.619047619047619,3,7
28,4.4,Noor Ahmad,Gaikwad,1,False,0,"back of a length, straightens towards the top of off. Makes room and punches to the off-side sweeper",74,Ahmedabad,113,4,4,57,9.666666666666666,9,4,9.4,True,11.689655172413794,20,171,58,10.333333333333334,5.612903225806451,3,7
29,4.5,Noor Ahmad,Conway,0,False,1,"wrong'un, I think? Looped up wide outside off, and Conway snatches too eagerly at the cover drive. Ends up dragging it back to the bowler off the inside half of the bat",74,Ahmedabad,113,4,5,58,9.833333333333334,9,5,9.5,True,11.491525423728813,20,171,58,10.166666666666666,5.704918032786885,3,7
30,4.6,Noor Ahmad,Conway,1,False,0,"shortish wrong'un finishing on the pads. Swipes it to the right of short fine leg, where Josh Little makes a good diving stop",74,Ahmedabad,114,4,6,59,10.0,9,6,9.6,True,11.4,20,171,57,10.0,5.7,3,7
31,5.1,Little,Conway,2,False,0,"short on off stump, Conway pulls and hits it in the air, but doesn't middle it and the ball lands safely in front of deep midwicket, where Rashid runs in from the boundary and to his right and overruns the nball a little",74,Ahmedabad,116,5,1,60,10.166666666666666,10,1,10.1,True,11.40983606557377,20,171,55,9.833333333333334,5.59322033898305,3,7
32,5.2,Little,Conway,2,False,0,"another short ball, gets up a little higher outside off, and Conway pulls into the gap to the right of Rashid at deep midwicket. He overruns the ball again, but turns around quickly and fields it casually with his left hand",74,Ahmedabad,118,5,2,61,10.333333333333334,10,2,10.2,True,11.419354838709676,20,171,53,9.666666666666666,5.482758620689656,3,7
33,5.3,Little,Conway,1,False,0,"back of a length close to off stump, punched to extra-cover. Seemed to stop on him slightly",74,Ahmedabad,119,5,3,62,10.5,10,3,10.3,True,11.333333333333334,20,171,52,9.5,5.473684210526316,3,7
34,5.4,Little,Gaikwad,1,False,0,"back of a length, angling across to off stump, clears the front leg and pulls along the ground to deep midwicket",74,Ahmedabad,120,5,4,63,10.666666666666666,10,4,10.4,True,11.25,20,171,51,9.333333333333334,5.4642857142857135,3,7
35,5.5,Little,Conway,2,False,0,"slower ball, fullish on off stump, makes a bit of room and drives to the right of Miller at extra-cover. Moves quickly to the ball and throws at the keeper's end, with no one backing up, and concedes an overthrow",74,Ahmedabad,122,5,5,64,10.833333333333334,10,5,10.5,True,11.26153846153846,20,171,49,9.166666666666666,5.345454545454546,3,7
36,5.6,Little,Conway,6,False,0,"shot! First post-powerplay boundary and it's a six. Not a genuine half-tracker, but it sits up nicely outside off for Conway to pull with conviction and clear the midwicket boundary",74,Ahmedabad,128,5,6,65,11.0,10,6,10.6,True,11.636363636363637,20,171,43,9.0,4.777777777777778,3,7
37,6.1,Noor Ahmad,Gaikwad,1,False,0,"tossed up on leg stump, gets forward to clip to long-on",74,Ahmedabad,129,6,1,66,11.166666666666666,11,1,11.1,True,11.55223880597015,20,171,42,8.833333333333334,4.754716981132075,3,7
38,6.2,Noor Ahmad,Conway,1,False,0,"full on off stump, once again too full for elevation. Driven down to the left of long-on, and Gaikwad is interested in a second but Conway sends him back",74,Ahmedabad,130,6,2,67,11.333333333333334,11,2,11.2,True,11.470588235294118,20,171,41,8.666666666666666,4.730769230769231,3,7
39,6.3,Noor Ahmad,Gaikwad,0,True,1,"wrong'un, dangled across Gaikwad and pitching outside off before turning further away. Don't know if he picked it, and if he did he's been done in the air by some dip. Looks to go over long-on, ends up getting a top-edge that skews high in the air before Rashid settles under it at backward point",74,Ahmedabad,130,6,3,68,11.5,11,3,11.3,True,11.304347826086957,20,171,41,8.5,4.823529411764706,4,6
40,6.4,Noor Ahmad,Dube,1,False,0,"wrong'un, full and turning in from off stump, gets forward and clips to deep backward square leg",74,Ahmedabad,131,6,4,69,11.666666666666666,11,4,11.4,True,11.22857142857143,20,171,40,8.333333333333334,4.8,4,6
41,6.5,Noor Ahmad,Conway,2,False,0,"another wrong'un, pitching just short of driving length outside off. Looks to chip to long-off's right, I think, and it turns in and hits the inside half of the bat, and he ends up chipping to long-off's left",74,Ahmedabad,133,6,5,70,11.833333333333334,11,5,11.5,True,11.23943661971831,20,171,38,8.166666666666666,4.653061224489797,4,6
42,6.6,Noor Ahmad,Conway,0,True,1,"Noor bags his second of the over. What an over. Back of a length, and this one turns away from Conway, and it stops on him as well. Lets out a yell of frustration after mishitting it straight down long-off's throat. Was probably looking to hit it over extra-cover off the back foot, not an easy shot to play at all",74,Ahmedabad,133,6,6,71,12.0,11,6,11.6,True,11.083333333333334,20,171,38,8.0,4.75,5,5
43,7.1,Little,Dube,1,False,0,"short, gets up to shoulder height over off stump. Pulled in the air, but lands dafely in front of Noor running to his right from deep square leg",74,Ahmedabad,134,7,1,72,12.166666666666666,12,1,12.1,True,11.013698630136988,20,171,37,7.833333333333334,4.723404255319148,5,5
