Ball,Ball Number,Bowler,Batsman,Runs,is_wicket,bowler_good,Description,match_id,city,total_runs,over,ball_in_over,continuous_ball_index,overs_bowled,overs_completed,balls_in_current_over,actual_over_ball,is_original_ball_number,current_run_rate,total_overs,target,runs_needed,overs_remaining,required_run_rate,wickets_fallen,wickets_in_hand
1,0.1,Khaleel Ahmed,Saha,0,False,1,gem!Good length ball at 138 kph swings in late and beats Saha's outside edge flicking across the line on fourth stump.,44,Ahmedabad,0,0,1,0,0.16666666666666666,0,1,0.1,True,0.0,20,131,131,19.833333333333332,6.605042016806723,0,10
2,0.2,Khaleel Ahmed,Saha,0,False,1,"good length ball angled wider on fifth stump, pokes at this and is beaten.",44,Ahmedabad,0,0,2,1,0.3333333333333333,0,2,0.2,True,0.0,20,131,131,19.666666666666668,6.661016949152542,0,10
3,0.3,Khaleel Ahmed,Saha,0,False,1,"full and angled across eighth stump, pokes at this flat-footed and is beaten.",44,Ahmedabad,0,0,3,2,0.5,0,3,0.3,True,0.0,20,131,131,19.5,6.717948717948718,0,10
4,0.4,Khaleel Ahmed,Saha,0,False,1,"full on fifth stump at 139 kph, punched straight to extra cover.",44,Ahmedabad,0,0,4,3,0.6666666666666666,0,4,0.4,True,0.0,20,131,131,19.333333333333332,6.775862068965518,0,10
5,0.5,Khaleel Ahmed,Saha,0,False,1,"good length ball on sixth stump at 132 kph, left alone.",44,Ahmedabad,0,0,5,4,0.8333333333333334,0,5,0.5,True,0.0,20,131,131,19.166666666666668,6.834782608695652,0,10
6,0.6,Khaleel Ahmed,Saha,0,True,1,"fullish length angled across seventh stump at 136 kph and continues seaming away, Saha pokes at this flat-footed yet again and finally pays the price. Thin edge flies low at knee height to Salt taking this diving in front of first slip.",44,Ahmedabad,0,0,6,5,1.0,0,6,0.6,True,0.0,20,131,131,19.0,6.894736842105263,1,9
7,1.1,Ishant Sharma,Gill,0,False,1,"good length ball on eighth stump, left alone.",44,Ahmedabad,0,1,1,6,1.1666666666666667,1,1,1.1,True,0.0,20,131,131,18.833333333333332,6.955752212389381,1,9
8,1.2,Ishant Sharma,Gill,0,False,1,"good length ball on fifth stump, defended to extra cover.",44,Ahmedabad,0,1,2,7,1.3333333333333333,1,2,1.2,True,0.0,20,131,131,18.666666666666668,7.017857142857142,1,9
9,1.3,Ishant Sharma,Gill,0,False,1,"good length ball on off, defended.",44,Ahmedabad,0,1,3,8,1.5,1,3,1.3,True,0.0,20,131,131,18.5,7.081081081081081,1,9
10,1.4,Ishant Sharma,Gill,0,False,1,"good length ball on fourth stump, defended.",44,Ahmedabad,0,1,4,9,1.6666666666666667,1,4,1.4,True,0.0,20,131,131,18.333333333333332,7.1454545454545455,1,9
11,1.5,Ishant Sharma,Gill,2,False,0,"slower ball full toss at waist height on middle, swatted through square leg for two.",44,Ahmedabad,2,1,5,10,1.8333333333333333,1,5,1.5,True,1.090909090909091,20,131,129,18.166666666666668,7.10091743119266,1,9
12,1.6,Ishant Sharma,Gill,4,False,0,"back of a length on seventh stump, cuts this firmly in front of point to the boundary.",44,Ahmedabad,6,1,6,11,2.0,1,6,1.6,True,3.0,20,131,125,18.0,6.944444444444445,1,9
61,10.1,Ishant Sharma,Manohar,1,False,0,"good length ball on the stumps, punched down the ground to long-on for one.",44,Ahmedabad,7,10,1,12,2.1666666666666665,2,1,2.1,True,3.230769230769231,20,131,124,17.833333333333332,6.953271028037384,1,9
