Ball,Ball Number,Bowler,Batsman,Runs,is_wicket,bowler_good,Description,match_id,total_runs,over,ball_in_over,continuous_ball_index,overs_bowled,overs_completed,balls_in_current_over,actual_over_ball,is_original_ball_number,current_run_rate,total_overs,target,runs_needed,overs_remaining,required_run_rate,wickets_fallen,wickets_in_hand
1,0.1,Sam Curran,Mandeep,0,False,1,"floats one quite full, angling it in towards off. Pushed to mid-off",2,0,0,1,0,0.16666666666666666,0,1,0.1,True,0.0,20,154,154,19.833333333333332,7.764705882352942,0,10
2,0.2,Sam Curran,Mandeep,1,False,0,"full length, and on off after hinting to angle in. Flicked towards midwicket",2,1,0,2,1,0.3333333333333333,0,2,0.2,True,1.0,20,154,153,19.666666666666668,7.779661016949152,0,10
3,0.3,Sam Curran,Gurbaz,1,False,0,"a bit of mix-up, but they are safe in the end. On a good length on off, and tucked to short third off the outside edge. Gurbaz stood still after starting to run, and they eventually made it back",2,2,0,3,2,0.5,0,3,0.3,True,2.0,20,154,152,19.5,7.794871794871795,0,10
4,0.4,Sam Curran,Mandeep,1,False,0,"makes some room and skips out, as this short ball on off is swatted to mid-on's right",2,3,0,4,3,0.6666666666666666,0,4,0.4,True,3.0,20,154,151,19.333333333333332,7.810344827586207,0,10
5,0.5,Sam Curran,Gurbaz,6,False,0,"launched high and wide over long-on!Gurbaz gets into the action. Charges down at this length delivery on the stumps, and sends that 101 metres into the stands",2,9,0,5,4,0.8333333333333334,0,5,0.5,True,9.0,20,154,145,19.166666666666668,7.565217391304348,0,10
6,0.6,Sam Curran,Gurbaz,4,False,0,"flicked to deep midwicket!This is a bit fuller, but enough for Gurbaz to slam that away off his pads, as there is no movement off the pitch or from it either. Square leg was placed closer in, and that was hit well",2,13,0,6,5,1.0,0,6,0.6,True,13.0,20,154,141,19.0,7.421052631578948,0,10
7,1.1,Arshdeep,Mandeep,0,True,1,"Arshdeep strikes first ball!He is celebrating with his arms wide, and with half a sprint down long leg. Good pace and bounce from him though. H pitched it about middle and off, as the ball angled across, and rose rather sharply on off stump. Mandeep pulled, but the extra bounce got him. Straight into deep square leg's hands",2,13,1,1,6,1.1666666666666667,1,1,1.1,True,11.142857142857142,20,154,141,18.833333333333332,7.486725663716815,1,9
8,1.2,Arshdeep,Roy,0,False,1,"good length on fifth stump, and clipped to midwicket. Gurbaz is sent back by Anukul",2,13,1,2,7,1.3333333333333333,1,2,1.2,True,9.75,20,154,141,18.666666666666668,7.553571428571428,1,9
9,1.3,Arshdeep,Roy,4,False,0,"lofted over mid-on!That bounced just before hitting the rope. Yup, it's a four. He is standing deep in his crease, and ready to launch this length ball angling into him towards middle stump",2,17,1,3,8,1.5,1,3,1.3,True,11.333333333333334,20,154,137,18.5,7.405405405405405,1,9
10,1.4,Arshdeep,Roy,0,False,1,"quite full and wide of off, and he drills that but straight to the extra-cover fielder",2,17,1,4,9,1.6666666666666667,1,4,1.4,True,10.2,20,154,137,18.333333333333332,7.4727272727272736,1,9
11,1.5,Arshdeep,Roy,0,False,1,"good bouncer. Pitches it short on middle, as Anukul first shapes to swing it away, but then ducks last moment, since the line seemed to be almost cramping him",2,17,1,5,10,1.8333333333333333,1,5,1.5,True,9.272727272727273,20,154,137,18.166666666666668,7.541284403669724,1,9
12,1.6,Arshdeep,Roy,0,True,1,"spooned to midwicket!Arsh gets two in this over. I think the extra bounce came into play again, and so did his pace. Another short delivery from Arsh, and this one's line was a bit wide of off, much further away from the middle-stump line he cramped Anukul with previous ball. Anukul pulled, but found the fielder, who didn't have to move at all",2,17,1,6,11,2.0,1,6,1.6,True,8.5,20,154,137,18.0,7.611111111111111,2,8
61,10.1,Chahar,Rinku Singh,0,True,1,"strikes first ball, just like Arshdeep!Rinku goes after the legspinner right away, but finds deep midwicket. Chahar bowls on a length on off, but it is the wrong 'un. It turns away from Rinku's arc, as he looks to slog sweep. Instead, the ball ends up landing right into the fielder's lap",2,17,10,1,12,2.1666666666666665,2,1,2.1,True,7.846153846153847,20,154,137,17.833333333333332,7.682242990654206,3,7
62,10.2,Chahar,Russell,1,False,0,"dabs this short ball straightening just outside off, and the ball goes past slip",2,18,10,2,13,2.3333333333333335,2,2,2.2,True,7.7142857142857135,20,154,136,17.666666666666668,7.698113207547169,3,7
63,10.3,Chahar,Venkatesh Iyer,0,False,1,full and flatter on off. Flay-batted to cover,2,18,10,3,14,2.5,2,3,2.3,True,7.2,20,154,136,17.5,7.771428571428571,3,7
64,10.4,Chahar,Venkatesh Iyer,1,False,0,"turns away off a short length, and ends wide-ish of off. Hacked to deep point",2,19,10,4,15,2.6666666666666665,2,4,2.4,True,7.125,20,154,135,17.333333333333332,7.788461538461539,3,7
65,10.5,Chahar,Russell,1,False,0,"the googly ends up on leg, after being pitched short on middle and off. Pulled to fine leg",2,20,10,5,16,2.8333333333333335,2,5,2.5,True,7.0588235294117645,20,154,134,17.166666666666668,7.805825242718446,3,7
66,10.6,Chahar,Venkatesh Iyer,0,False,1,"slashes and misses. Short ball, turning away - as it was the wrong 'un again - and ending outside off. Half an appeal for caught behind",2,20,10,6,17,3.0,2,6,2.6,True,6.666666666666667,20,154,134,17.0,7.882352941176471,3,7
67,11.1,Harpreet Brar,Russell,2,False,0,"full ball on his pads, and flicked to long leg",2,22,11,1,18,3.1666666666666665,3,1,3.1,True,6.947368421052632,20,154,132,16.833333333333332,7.841584158415842,3,7
68,11.2,Harpreet Brar,Russell,0,False,1,"short, and angling into the stumps. Punched back",2,22,11,2,19,3.3333333333333335,3,2,3.2,True,6.6,20,154,132,16.666666666666668,7.919999999999999,3,7
