Ball,Ball Number,Bowler,Batsman,Runs,is_wicket,bowler_good,Description,match_id,total_runs,over,ball_in_over,continuous_ball_index,overs_bowled,overs_completed,balls_in_current_over,actual_over_ball,is_original_ball_number,current_run_rate,total_overs,target,runs_needed,overs_remaining,required_run_rate,wickets_fallen,wickets_in_hand
69,11.3,Harpreet Brar,Russell,4,False,0,"hammered just over the bowler's raised hands!That was bashed back dangerously. Shortish ball around off, and swatted back",2,26,11,3,20,3.5,3,3,3.3,True,7.428571428571429,20,154,128,16.5,7.757575757575758,3,7
70,11.4,Harpreet Brar,Russell,1,False,0,"on the bounce to deep midwicket. Short ball angling into leg, and pulled away again",2,27,11,4,21,3.6666666666666665,3,4,3.4,True,7.363636363636364,20,154,127,16.333333333333332,7.775510204081633,3,7
71,11.5,Harpreet Brar,Venkatesh Iyer,0,False,1,"now Iyer drills on the bounce to extra cover. Full and wide of off, and he attacks at it",2,27,11,5,22,3.8333333333333335,3,5,3.5,True,7.0434782608695645,20,154,127,16.166666666666668,7.855670103092783,3,7
72,11.6,Harpreet Brar,Venkatesh Iyer,0,False,1,"goes for the switch hit, but misses the full ball on leg as they pinch a bye off the keeper's pad",2,27,11,6,23,4.0,3,6,3.6,True,6.75,20,154,127,16.0,7.9375,3,7
73,12.1,Chahar,Venkatesh Iyer,1,False,0,"misfield by point, as Iyer reverse sweeps this good length ball on off. Shahrukh the fielder there",2,28,12,1,24,4.166666666666667,4,1,4.1,True,6.72,20,154,126,15.833333333333332,7.957894736842106,3,7
74,12.2,Chahar,Russell,6,False,0,"fired wayyyy over long-off!Gets his front leg out of the way, and launches this length ball on off to get six",2,34,12,2,25,4.333333333333333,4,2,4.2,True,7.846153846153847,20,154,120,15.666666666666668,7.659574468085106,3,7
75,12.3,Chahar,Russell,0,False,1,"short on middle and leg, and quicker with good bounce. Poked to short third, as Iyer is sent back",2,34,12,3,26,4.5,4,3,4.3,True,7.555555555555555,20,154,120,15.5,7.741935483870968,3,7
76,12.4,Chahar,Russell,1,False,0,"good length on the stumps, and tapped to point for a hurried run",2,35,12,4,27,4.666666666666667,4,4,4.4,True,7.499999999999999,20,154,119,15.333333333333332,7.760869565217392,3,7
77,12.5,Chahar,Venkatesh Iyer,1,False,0,"full delivery on middle, and swept to deep square",2,36,12,5,28,4.833333333333333,4,5,4.5,True,7.448275862068966,20,154,118,15.166666666666668,7.780219780219779,3,7
78,12.6,Chahar,Russell,0,False,1,"full and wide of off, and turning away while bouncing nicely. Russell misses his attempted cut",2,36,12,6,29,5.0,4,6,4.6,True,7.2,20,154,118,15.0,7.866666666666666,3,7
79,13.1,Ellis,Venkatesh Iyer,1,False,0,"good length ball, angling in late into middle and off after pitching on off. Stabbed to point",2,37,13,1,30,5.166666666666667,5,1,5.1,True,7.161290322580645,20,154,117,14.833333333333332,7.887640449438203,3,7
80,13.2,Ellis,Russell,4,False,0,"clubbed over mid-off!Stands deep in the crease at this length delivery, which is ending outside off. Russell opened the bat face, and sliced that back forcefully",2,41,13,2,31,5.333333333333333,5,2,5.2,True,7.6875,20,154,113,14.666666666666668,7.704545454545454,3,7
81,13.3,Ellis,Russell,2,False,0,"dropped by short fine running back!Prabhsimran the fielder. Ellis isn't happy, but it didn't look very easy too. It was a slower ball and short on off, and Russell pulled and got a top edge",2,43,13,3,32,5.5,5,3,5.3,True,7.818181818181818,20,154,111,14.5,7.655172413793103,3,7
82,13.4,Ellis,Venkatesh Iyer,1,False,0,now bowls a good yorker just outside off. Jammed down to long-off,2,44,13,4,33,5.666666666666667,5,4,5.4,True,7.764705882352941,20,154,110,14.333333333333332,7.674418604651163,3,7
83,13.5,Ellis,Russell,0,False,1,"another yorker, and bowled on fifth stump. Russell slashes and misses",2,44,13,5,34,5.833333333333333,5,5,5.5,True,7.542857142857144,20,154,110,14.166666666666668,7.76470588235294,3,7
84,13.6,Ellis,Russell,1,False,0,"slower ball, and a full length on fifth stump. Swatted without timing to long-on",2,45,13,6,35,6.0,5,6,5.6,True,7.5,20,154,109,14.0,7.785714285714286,3,7
85,14.1,Sam Curran,Russell,1,False,0,swats this short and wide ball outside off to deep point,2,46,14,1,36,6.166666666666667,6,1,6.1,True,7.459459459459459,20,154,108,13.833333333333332,7.807228915662651,3,7
86,14.2,Sam Curran,Venkatesh Iyer,1,False,0,"full ball on off, and flicked to deep midwicket",2,47,14,2,37,6.333333333333333,6,2,6.2,True,7.421052631578948,20,154,107,13.666666666666668,7.829268292682926,3,7
87,14.3,Sam Curran,Russell,6,False,0,"low full toss, and heaved away over wide long-on!Perhaps Curran tried the yorker; anyway, it didn't work. Russell got his front leg out of the way while standing deep in the crease, and flung at that",2,53,14,3,38,6.5,6,3,6.3,True,8.153846153846153,20,154,101,13.5,7.481481481481482,3,7
88,14.4,Sam Curran,Russell,4,False,0,"ramps between point and short third!Not very Russell-like, though. Short delivery, almost cramping him for room while rising on middle. He sways away a bit, and lofts it late",2,57,14,4,39,6.666666666666667,6,4,6.4,True,8.549999999999999,20,154,97,13.333333333333332,7.275,3,7
89,14.5,Sam Curran,Russell,0,True,1,"finds deep midwicket!Could be exactly the wrong time for KKR, given there is rain around. Curran went short again, except that this one was an offcutter, which rose sharply after pitching middle and leg, while also angling across. Russell swat-pulled but only off the higher side of the bat",2,57,14,5,40,6.833333333333333,6,5,6.5,True,8.341463414634147,20,154,97,13.166666666666668,7.367088607594936,4,6
90,14.6,Sam Curran,Thakur,6,False,0,"ridiculous!Effortless. Too good. Looked like he never really wanted to hit it that far, yet that shortish ball angling away towards off travelled over deep square leg as Thakur pulled almost with disdain",2,63,14,6,41,7.0,6,6,6.6,True,9.0,20,154,91,13.0,7.0,4,6
91,15.1,Arshdeep,Venkatesh Iyer,1,False,0,"sliced on the bounce to deep point. Full and wide-ish of off, as Iyer opens the bat face to loft",2,64,15,1,42,7.166666666666667,7,1,7.1,True,8.930232558139535,20,154,90,12.833333333333332,7.012987012987014,4,6
92,15.2,Arshdeep,Thakur,1,False,0,full ball angling into middle. Whipped to deep backward square,2,65,15,2,43,7.333333333333333,7,2,7.2,True,8.863636363636363,20,154,89,12.666666666666668,7.026315789473683,4,6
93,15.3,Arshdeep,Venkatesh Iyer,0,True,1,"ramped to point!Another bouncer from Arsh earns him a wicket. The bounce was a bit too much for Iyer to handle. Arsh banged it in short around off, with Iyer almost leaping a little to get on top of it. But he ended up half-ramping it - and without any control - to point",2,65,15,3,44,7.5,7,3,7.3,True,8.666666666666666,20,154,89,12.5,7.12,5,5
94,15.4,Arshdeep,Narine,1,False,0,"full ball on off, and driven to extra cover's right",2,66,15,4,45,7.666666666666667,7,4,7.4,True,8.608695652173912,20,154,88,12.333333333333332,7.135135135135136,5,5
95,15.5,Arshdeep,Thakur,1,False,0,"fires a yorker length ball on off, which is driven to long-on",2,67,15,5,46,7.833333333333333,7,5,7.5,True,8.553191489361703,20,154,87,12.166666666666668,7.150684931506849,5,5
96,15.6,Arshdeep,Narine,6,False,0,"just over long-on!This game is not over yet. Narine showing what he has got. On a good length on the stumps, and just lofted with the least of efforts",2,73,15,6,47,8.0,7,6,7.6,True,9.125,20,154,81,12.0,6.75,5,5
13,2.1,Sam Curran,Gurbaz,4,False,0,"woah, that looked to effortless!Just high elbows, and the full face of the bat, as it was a length ball in the slot on off. Four over mid-off",2,77,2,1,48,8.166666666666666,8,1,8.1,True,9.428571428571429,20,154,77,11.833333333333334,6.507042253521126,5,5
14,2.2,Sam Curran,Gurbaz,0,False,1,opens the bat face to dab this good length ball angling across towards off to point,2,77,2,2,49,8.333333333333334,8,2,8.2,True,9.24,20,154,77,11.666666666666666,6.6000000000000005,5,5
15,2.3,Sam Curran,Gurbaz,1,False,0,"short in length on middle, and pulled to fine leg",2,78,2,3,50,8.5,8,3,8.3,True,9.176470588235293,20,154,76,11.5,6.608695652173913,5,5
16,2.4,Sam Curran,Venkatesh Iyer,1,False,0,fullish ball on middle and off. Flicked to deep square elg,2,79,2,4,51,8.666666666666666,8,4,8.4,True,9.115384615384617,20,154,75,11.333333333333334,6.617647058823529,5,5
17,2.5,Sam Curran,Gurbaz,0,False,1,"charges down the track, but Curran bowls short and beats Gurbaz completely. Perhaps Gurbaz skipped out too early after making room, and Curran bowled short on leg. Gurbaz pulled and missed",2,79,2,5,52,8.833333333333334,8,5,8.5,True,8.943396226415095,20,154,75,11.166666666666666,6.7164179104477615,5,5
18,2.6,Sam Curran,Gurbaz,1,False,0,"quite full this time on off, and dragged to mid-on's right. Rishi Dhawan there fumbles, as it could have been tight",2,80,2,6,53,9.0,8,6,8.6,True,8.88888888888889,20,154,74,11.0,6.7272727272727275,5,5
19,3.1,Arshdeep,Gurbaz,0,False,1,"shorter side of a length on off, and dabbed to short third. Gurbaz wanted a single, but was sent back",2,80,3,1,54,9.166666666666666,9,1,9.1,True,8.727272727272728,20,154,74,10.833333333333334,6.8307692307692305,5,5
20,3.2,Arshdeep,Gurbaz,0,False,1,"good ball. Sees the batter make room, and fires a yorker on fifth stump, which Gurbaz slashes at but misses",2,80,3,2,55,9.333333333333334,9,2,9.2,True,8.571428571428571,20,154,74,10.666666666666666,6.9375,5,5
21,3.3,Arshdeep,Gurbaz,0,False,1,"fuller side of a length on leg, and takes his pad as he tries to flick. Again he tries for a single, before going back",2,80,3,3,56,9.5,9,3,9.3,True,8.421052631578947,20,154,74,10.5,7.0476190476190474,5,5
22,3.4,Arshdeep,Gurbaz,0,False,1,"four dots in a row. This is called first bouncer, as Arsh bangs it in short on middle and leg. Gurbaz ducks, as the good bounce takes it high above him",2,80,3,4,57,9.666666666666666,9,4,9.4,True,8.275862068965518,20,154,74,10.333333333333334,7.161290322580645,5,5
23,3.5,Arshdeep,Gurbaz,4,False,0,"flashed just wide of short third!Gurbaz runs out of patience, and jumps out of his crease. The ball ended up being a low, dipping full toss outside off, and the ball takes his outside edge with Gurbaz trying to heave",2,84,3,5,58,9.833333333333334,9,5,9.5,True,8.542372881355933,20,154,70,10.166666666666666,6.885245901639345,5,5
24,3.6,Arshdeep,Gurbaz,1,False,0,good length ball angling into off. Punched to cover-point,2,85,3,6,59,10.0,9,6,9.6,True,8.5,20,154,69,10.0,6.9,5,5
25,4.1,Ellis,Gurbaz,0,False,1,"starts with a slower ball. Full length on off, and he loses his bottom hand while trying to hoick. The ball ends up at cover off his outside edge, and Iyer is just back with the throw arriving there",2,85,4,1,60,10.166666666666666,10,1,10.1,True,8.360655737704919,20,154,69,9.833333333333334,7.016949152542373,5,5
26,4.2,Ellis,Gurbaz,0,True,1,"Ellis pings off stump!This time Ellis had good pace on ball, changing up after that slower delivery last ball. Gurbaz, again trying to be adventurous, makes some room, and also skips out of the crease. He hacks at this good length ball on off - rather it was on the shorter side of a length - and missed, as the stumps lit up",2,85,4,2,61,10.333333333333334,10,2,10.2,True,8.225806451612902,20,154,69,9.666666666666666,7.137931034482759,6,4
27,4.3,Ellis,Rana,0,False,1,"full delivery on off, and defended back",2,85,4,3,62,10.5,10,3,10.3,True,8.095238095238095,20,154,69,9.5,7.2631578947368425,6,4
28,4.4,Ellis,Rana,4,False,0,"swiped to long leg!Harpreet from deep square leg runs and dives to his left, but in vain. Good length ball on his legs, and pulled away by Rana",2,89,4,4,63,10.666666666666666,10,4,10.4,True,8.34375,20,154,65,9.333333333333334,6.9642857142857135,6,4
29,4.5,Ellis,Rana,2,False,0,"a touch fuller than the last ball, and on a good length again on middle and leg. Clipped towards deep midwicket",2,91,4,5,64,10.833333333333334,10,5,10.5,True,8.4,20,154,63,9.166666666666666,6.872727272727273,6,4
30,4.6,Ellis,Rana,0,False,1,"now much fuller on off, and pushed back",2,91,4,6,65,11.0,10,6,10.6,True,8.272727272727273,20,154,63,9.0,7.0,6,4
31,5.1,Raza,Venkatesh Iyer,0,False,1,"good length darted into middle, and angled in. Iyer misses his pull, and is hit on his pad",2,91,5,1,66,11.166666666666666,11,1,11.1,True,8.149253731343284,20,154,63,8.833333333333334,7.132075471698113,6,4
32,5.2,Raza,Venkatesh Iyer,1,False,0,"shortish just outside off, and pushed to long-on",2,92,5,2,67,11.333333333333334,11,2,11.2,True,8.117647058823529,20,154,62,8.666666666666666,7.153846153846154,6,4
33,5.3,Raza,Rana,1,False,0,"very full on off, and flicked to midwicket",2,93,5,3,68,11.5,11,3,11.3,True,8.08695652173913,20,154,61,8.5,7.176470588235294,6,4
34,5.4,Raza,Venkatesh Iyer,0,False,1,"short outside off, and swatted to mid-off",2,93,5,4,69,11.666666666666666,11,4,11.4,True,7.9714285714285715,20,154,61,8.333333333333334,7.319999999999999,6,4
35,5.5,Raza,Venkatesh Iyer,4,False,0,"flicked for four between short fine and square leg!Too quick, and too full, angling into his pads, as Iyer just clipped it using the pace",2,97,5,5,70,11.833333333333334,11,5,11.5,True,8.197183098591548,20,154,57,8.166666666666666,6.979591836734694,6,4
36,5.6,Raza,Venkatesh Iyer,4,False,0,"punched between cover-point and extra cover!The last two balls ruin Raza's over. This was short just outside off, as Iyer pushed late it, with the cover-point fielder diving to his right and missing the ball",2,101,5,6,71,12.0,11,6,11.6,True,8.416666666666666,20,154,53,8.0,6.625,6,4
37,6.1,Ellis,Rana,0,False,1,"good length ball on leg, taking his pads towards fine leg as he looked to clip",2,101,6,1,72,12.166666666666666,12,1,12.1,True,8.301369863013699,20,154,53,7.833333333333334,6.76595744680851,6,4
38,6.2,Ellis,Venkatesh Iyer,1,False,0,good length on middle and leg. Clipped to deep backward square,2,102,6,2,73,12.333333333333334,12,2,12.2,True,8.27027027027027,20,154,52,7.666666666666666,6.782608695652175,6,4
39,6.3,Ellis,Rana,0,False,1,slower ball on a good length on off. Pushed to extra cover,2,102,6,3,74,12.5,12,3,12.3,True,8.16,20,154,52,7.5,6.933333333333334,6,4
40,6.4,Ellis,Rana,0,False,1,"goes driving, but is beaten!Length delivery angling across, and finishing on sixth stump, as the ball passes his outside edge",2,102,6,4,75,12.666666666666666,12,4,12.4,True,8.052631578947368,20,154,52,7.333333333333334,7.09090909090909,6,4
41,6.5,Ellis,Rana,1,False,0,"makes room, and skips down. Ellis spots that, and bowls on a good length outside leg. Swiped to fine leg",2,103,6,5,76,12.833333333333334,12,5,12.5,True,8.025974025974026,20,154,51,7.166666666666666,7.116279069767442,6,4
42,6.6,Ellis,Venkatesh Iyer,1,False,0,"short delivery on middle and off, and pulled to deep backward square",2,104,6,6,77,13.0,12,6,12.6,True,8.0,20,154,50,7.0,7.142857142857143,6,4
43,7.1,Raza,Venkatesh Iyer,2,False,0,"chips this full and flat ball on the stumps just wide of long-on, and they pinch two. Good running",2,106,7,1,78,13.166666666666666,13,1,13.1,True,8.050632911392405,20,154,48,6.833333333333334,7.024390243902438,6,4
44,7.2,Raza,Venkatesh Iyer,1,False,0,"good length, angling into leg. Whipped off his pads to fine leg",2,107,7,2,79,13.333333333333334,13,2,13.2,True,8.025,20,154,47,6.666666666666666,7.050000000000001,6,4
45,7.3,Raza,Rana,1,False,0,short and wide-ish of off. Slashed to deep point,2,108,7,3,80,13.5,13,3,13.3,True,8.0,20,154,46,6.5,7.076923076923077,6,4
46,7.4,Raza,Venkatesh Iyer,1,False,0,"goes low, roundarm, and wide of the crease. Shortish on off, and punched to long-on",2,109,7,4,81,13.666666666666666,13,4,13.4,True,7.975609756097561,20,154,45,6.333333333333334,7.105263157894736,6,4
47,7.5,Raza,Rana,4,False,0,"switch hit lofted over short third!The fielder ran back all the way, but in vain. Good length on off, and swung away",2,113,7,5,82,13.833333333333334,13,5,13.5,True,8.168674698795181,20,154,41,6.166666666666666,6.648648648648649,6,4
48,7.6,Raza,Rana,0,False,1,"fullish length angling down leg, as he tried to sweep but missed. They sneak a bye, as the ball went past the keeper too",2,113,7,6,83,14.0,13,6,13.6,True,8.071428571428571,20,154,41,6.0,6.833333333333333,6,4
49,8.1,R Dhawan,Rana,4,False,0,"flung away to deep third!Off the top edge, but that will do. Charges down after making room, as Dhawan bowls on a good length outside off. Rana swung, band eventually got four",2,117,8,1,84,14.166666666666666,14,1,14.1,True,8.258823529411766,20,154,37,5.833333333333334,6.3428571428571425,6,4
50,8.2,R Dhawan,Rana,6,False,0,"a commanding pull!That travelled very quickly over deep midwicket. On the shorter side of a length around middle, and Dhawan's pace isn't that troubling. Rana swung for six",2,123,8,2,85,14.333333333333334,14,2,14.2,True,8.581395348837209,20,154,31,5.666666666666666,5.470588235294119,6,4
51,8.3,R Dhawan,Rana,1,False,0,"slower ball. Good length, and angling away to end wide of off. Slashed to point",2,124,8,3,86,14.5,14,3,14.3,True,8.551724137931034,20,154,30,5.5,5.454545454545454,6,4
52,8.4,R Dhawan,Venkatesh Iyer,0,False,1,"a tennis-batted hack to point, as this ball is a slower ball again, and is short on off. Played that very late there",2,124,8,4,87,14.666666666666666,14,4,14.4,True,8.454545454545455,20,154,30,5.333333333333334,5.624999999999999,6,4
53,8.5,R Dhawan,Venkatesh Iyer,4,False,0,"pulled wide of long-on!Change of pace again from Dhawan, and in vain. He pitched it on the shorter side, angling it across as it ended outside off. Iyer fetched that from there, and crashed that",2,128,8,5,88,14.833333333333334,14,5,14.5,True,8.629213483146067,20,154,26,5.166666666666666,5.03225806451613,6,4
54,8.6,R Dhawan,Venkatesh Iyer,0,False,1,"short of a length on middle and off, and punched to point",2,128,8,6,89,15.0,14,6,14.6,True,8.533333333333333,20,154,26,5.0,5.2,6,4
55,9.1,Raza,Rana,0,False,1,"stops in his action last moment, and bowls on a length while angling into leg. Swept to short fine",2,128,9,1,90,15.166666666666666,15,1,15.1,True,8.43956043956044,20,154,26,4.833333333333334,5.379310344827585,6,4
56,9.2,Raza,Rana,0,True,1,"slashed straight to point!Raza is relieved after going for some runs in his first two overs. That was there to be hit, but Rana ended up gifting the fielder an easy catch. Short and slightly wide of off, as Rana went hard at that only to end up walking back. So the time-out breaks his momentum",2,128,9,2,91,15.333333333333334,15,2,15.2,True,8.347826086956522,20,154,26,4.666666666666666,5.571428571428572,7,3
57,9.3,Raza,Rinku Singh,1,False,0,"length ball outside off, hinting to turn away. Pushed to deep point",2,129,9,3,92,15.5,15,3,15.3,True,8.32258064516129,20,154,25,4.5,5.555555555555555,7,3
58,9.4,Raza,Venkatesh Iyer,1,False,0,"very full on middle, and whipped to deep midwicket",2,130,9,4,93,15.666666666666666,15,4,15.4,True,8.297872340425533,20,154,24,4.333333333333334,5.538461538461537,7,3
59,9.5,Raza,Rinku Singh,2,False,0,"shortish on off, and clipped to deep backward square. Misfield by Arsh allows a second",2,132,9,5,94,15.833333333333334,15,5,15.5,True,8.336842105263157,20,154,22,4.166666666666666,5.280000000000001,7,3
60,9.6,Raza,Rinku Singh,1,False,0,"good length wide-ish of off, and pushed to deep point",2,133,9,6,95,16.0,15,6,15.6,True,8.3125,20,154,21,4.0,5.25,7,3
