Ball,Ball Number,Bowler,Batsman,Runs,is_wicket,bowler_good,Description,match_id,city,total_runs,over,ball_in_over,continuous_ball_index,overs_bowled,overs_completed,balls_in_current_over,actual_over_ball,is_original_ball_number,current_run_rate,total_overs,target,runs_needed,overs_remaining,required_run_rate,wickets_fallen,wickets_in_hand
1,0.1,Sam Curran,Jaiswal,6,False,0,"now that's a way to get the chase underway!Length ball on the hips, just flicks this effortlessly over square leg.",8,Guwahati,6,0,1,0,0.16666666666666666,0,1,0.1,True,6.0,20,198,192,19.833333333333332,9.680672268907564,0,10
2,0.2,Sam Curran,Jaiswal,0,False,1,"full on fifth stump, punched back down the pitch for none.",8,Guwahati,6,0,2,1,0.3333333333333333,0,2,0.2,True,6.0,20,198,192,19.666666666666668,9.762711864406779,0,10
3,0.3,Sam Curran,Jaiswal,0,False,1,"full on off, driven firmly to mid-on for none.",8,Guwahati,6,0,3,2,0.5,0,3,0.3,True,6.0,20,198,192,19.5,9.846153846153847,0,10
4,0.4,Sam Curran,Jaiswal,0,False,1,"full on off stump, punched firmly to mid-off for none.",8,Guwahati,6,0,4,3,0.6666666666666666,0,4,0.4,True,6.0,20,198,192,19.333333333333332,9.931034482758621,0,10
5,0.5,Sam Curran,Jaiswal,1,False,0,"length ball on fifth stump, slices a cut to deep backward point for one.",8,Guwahati,7,0,5,4,0.8333333333333334,0,5,0.5,True,7.0,20,198,191,19.166666666666668,9.965217391304348,0,10
6,0.6,Sam Curran,Ashwin,0,False,1,"length ball on fifth stump, goes to drive and misses.",8,Guwahati,7,0,6,5,1.0,0,6,0.6,True,7.0,20,198,191,19.0,10.052631578947368,0,10
7,1.1,Arshdeep,Jaiswal,4,False,0,"length ball on seventh stump, cuts this firmly behind point and goes to the rope.",8,Guwahati,11,1,1,6,1.1666666666666667,1,1,1.1,True,9.428571428571429,20,198,187,18.833333333333332,9.929203539823009,0,10
8,1.2,Arshdeep,Jaiswal,0,False,1,"slower length ball on seventh stump, goes to cut and misses.",8,Guwahati,11,1,2,7,1.3333333333333333,1,2,1.2,True,8.25,20,198,187,18.666666666666668,10.017857142857142,0,10
9,1.3,Arshdeep,Jaiswal,0,True,1,"fullish length ball on sixth stump, drives loosely to extra cover. Basic catch taken at waist height. Fielder didn't have to move left or right. Matthew Short, on as a sub for Rajapaksa who was injured batting, takes the catch sliding forward on his haunches in front of his chest.",8,Guwahati,11,1,3,8,1.5,1,3,1.3,True,7.333333333333333,20,198,187,18.5,10.108108108108109,1,9
10,1.4,Arshdeep,Buttler,3,False,0,"length ball on seventh stump, stroked on the up through extra cover, sliding stop on the rope saves a run to keep it to three.",8,Guwahati,14,1,4,9,1.6666666666666667,1,4,1.4,True,8.4,20,198,184,18.333333333333332,10.036363636363637,1,9
