Ball,Ball Number,Bowler,Batsman,Runs,is_wicket,bowler_good,Description,match_id,city,total_runs,over,ball_in_over,continuous_ball_index,overs_bowled,overs_completed,balls_in_current_over,actual_over_ball,is_original_ball_number,current_run_rate,total_overs,target,runs_needed,overs_remaining,required_run_rate,wickets_fallen,wickets_in_hand
1,0.1,Khaleel Ahmed,Saha,0,False,1,"Angling away on a length outside off, Saha has a slash but misses. Porel doesn't collect that cleanly.",7,Delhi,0,0,1,0,0.16666666666666666,0,1,0.1,True,0.0,20,163,163,19.833333333333332,8.218487394957984,0,10
2,0.2,Khaleel Ahmed,Saha,0,False,1,"Full and straight on off and middle, defends it towards point off the front foot.",7,Delhi,0,0,2,1,0.3333333333333333,0,2,0.2,True,0.0,20,163,163,19.666666666666668,8.288135593220339,0,10
3,0.3,Khaleel Ahmed,Saha,4,False,0,"Oh pure timing! Length ball angling away, it was wide outside off. Saha stands tall and slaps it through cover-point. Not trying to hit it too hard.",7,Delhi,4,0,3,2,0.5,0,3,0.3,True,4.0,20,163,159,19.5,8.153846153846153,0,10
4,0.4,Khaleel Ahmed,Saha,4,False,0,"And now Saha goes over mid-off! This is full and outside off, easy pickings. He clears his front leg and lofts it well over the fielder in the ring.",7,Delhi,8,0,4,3,0.6666666666666666,0,4,0.4,True,8.0,20,163,155,19.333333333333332,8.017241379310345,0,10
5,0.5,Khaleel Ahmed,Saha,0,False,1,"Full and outside off, driven straight to mid-off.",7,Delhi,8,0,5,4,0.8333333333333334,0,5,0.5,True,8.0,20,163,155,19.166666666666668,8.08695652173913,0,10
6,0.6,Khaleel Ahmed,Saha,6,False,0,"My word, has he struck it well!Length ball around off and middle, Saha picks the length early. Has it gone the distance? They are checking for that, looks to have cleared the ropes. Massive strike that, excellent start to the chase for Titans.",7,Delhi,14,0,6,5,1.0,0,6,0.6,True,14.0,20,163,149,19.0,7.842105263157895,0,10
7,1.1,Mukesh Kumar,Gill,4,False,0,"Gill is in SOME touch! That is on a length outside off, not too short, not too wide. Enough, though, for Gill to slap it through cover-point.",7,Delhi,18,1,1,6,1.1666666666666667,1,1,1.1,True,15.428571428571427,20,163,145,18.833333333333332,7.6991150442477885,0,10
8,1.2,Mukesh Kumar,Gill,0,False,1,"Lands it on a length around off, no movement off the deck or in the air. Gill defends it back.",7,Delhi,18,1,2,7,1.3333333333333333,1,2,1.2,True,13.5,20,163,145,18.666666666666668,7.767857142857142,0,10
9,1.3,Mukesh Kumar,Gill,0,False,1,"Fullish around off and middle, keeps it out to the on side.",7,Delhi,18,1,3,8,1.5,1,3,1.3,True,12.0,20,163,145,18.5,7.837837837837838,0,10
10,1.4,Mukesh Kumar,Gill,4,False,0,"Beauty! And Gill is no beast. This is all timing. Length ball outside off, he stands tall and just places it to the left of short cover. Pure timing, all elegance.",7,Delhi,22,1,4,9,1.6666666666666667,1,4,1.4,True,13.2,20,163,141,18.333333333333332,7.690909090909091,0,10
11,1.5,Mukesh Kumar,Gill,0,False,1,"Good comeback. Lands it on a length on the sixth-stump line, has Gill poking at it and getting beaten.",7,Delhi,22,1,5,10,1.8333333333333333,1,5,1.5,True,12.0,20,163,141,18.166666666666668,7.761467889908256,0,10
12,1.6,Mukesh Kumar,Gill,0,False,1,"Angles it in on a length on middle and leg, tucks it to midwicket. Not a bad start from Mukesh.",7,Delhi,22,1,6,11,2.0,1,6,1.6,True,11.0,20,163,141,18.0,7.833333333333333,0,10
61,10.1,Marsh,Shankar,1,False,0,"Length ball outside off, he hangs back and punches it to deep cover.",7,Delhi,23,10,1,12,2.1666666666666665,2,1,2.1,True,10.615384615384617,20,163,140,17.833333333333332,7.850467289719627,0,10
62,10.2,Marsh,B Sai Sudharsan,0,False,1,"Shortish around off, he hops and pushes it to backward point.",7,Delhi,23,10,2,13,2.3333333333333335,2,2,2.2,True,9.857142857142856,20,163,140,17.666666666666668,7.924528301886792,0,10
63,10.3,Marsh,B Sai Sudharsan,0,False,1,"Length ball outside off, punched to cover.",7,Delhi,23,10,3,14,2.5,2,3,2.3,True,9.2,20,163,140,17.5,8.0,0,10
64,10.4,Marsh,B Sai Sudharsan,1,False,0,"Outside off, full as well, driven through cover-point for one.",7,Delhi,24,10,4,15,2.6666666666666665,2,4,2.4,True,9.0,20,163,139,17.333333333333332,8.01923076923077,0,10
65,10.5,Marsh,Shankar,4,False,0,"Excellently played. Back of a length outside off, Vijay hangs back and swats it over deep midwicket. One bounce and into the ropes.",7,Delhi,28,10,5,16,2.8333333333333335,2,5,2.5,True,9.88235294117647,20,163,135,17.166666666666668,7.864077669902912,0,10
66,10.6,Marsh,Shankar,1,False,0,"Full on middle and leg, pats it with soft hands towards long-on for one.",7,Delhi,29,10,6,17,3.0,2,6,2.6,True,9.666666666666666,20,163,134,17.0,7.882352941176471,0,10
67,11.1,Khaleel Ahmed,Shankar,4,False,0,"Nails the pull! Short and outside off, angling in. Vijay swivels and pulls it all along the ground through backward square leg.",7,Delhi,33,11,1,18,3.1666666666666665,3,1,3.1,True,10.421052631578949,20,163,130,16.833333333333332,7.722772277227723,0,10
68,11.2,Khaleel Ahmed,Shankar,2,False,0,"Full and outside off, it is at 140.5 clicks. Vijay heaves it over cover for a couple.",7,Delhi,35,11,2,19,3.3333333333333335,3,2,3.2,True,10.5,20,163,128,16.666666666666668,7.68,0,10
69,11.3,Khaleel Ahmed,Shankar,0,False,1,"Shortish on the stumps, he looks to pull but it lobs up off the pads to the on side.",7,Delhi,35,11,3,20,3.5,3,3,3.3,True,10.0,20,163,128,16.5,7.757575757575758,0,10
70,11.4,Khaleel Ahmed,B Sai Sudharsan,1,False,0,"Angles it on the pads, flicked through backward square leg for one.",7,Delhi,36,11,4,21,3.6666666666666665,3,4,3.4,True,9.818181818181818,20,163,127,16.333333333333332,7.775510204081633,0,10
71,11.5,Khaleel Ahmed,Shankar,1,False,0,"Length ball outside off, he gets behind it and punches it through cover.",7,Delhi,37,11,5,22,3.8333333333333335,3,5,3.5,True,9.652173913043478,20,163,126,16.166666666666668,7.793814432989691,0,10
72,11.6,Khaleel Ahmed,B Sai Sudharsan,1,False,0,"back of a length angling in, pulls it through square leg. He wanted a second but was sent back early.",7,Delhi,38,11,6,23,4.0,3,6,3.6,True,9.5,20,163,125,16.0,7.8125,0,10
73,12.1,Nortje,B Sai Sudharsan,2,False,0,"Full on off and middle, nudges it through midwicket for a brace.",7,Delhi,40,12,1,24,4.166666666666667,4,1,4.1,True,9.6,20,163,123,15.833333333333332,7.768421052631579,0,10
74,12.2,Nortje,B Sai Sudharsan,1,False,0,"Just out of Porel's diving reach!Bangs it short, Sudharsan just looks to direct it to the on side. Gets a top edge towards short fine leg. Porel covers a lot of ground and puts in the dive but it was out of his reach.",7,Delhi,41,12,2,25,4.333333333333333,4,2,4.2,True,9.461538461538462,20,163,122,15.666666666666668,7.787234042553191,0,10
75,12.3,Nortje,Shankar,0,False,1,Fullish around off and middle pushed to mid-off.,7,Delhi,41,12,3,26,4.5,4,3,4.3,True,9.11111111111111,20,163,122,15.5,7.870967741935484,0,10
76,12.4,Nortje,Shankar,1,False,0,"Fast and full length ball on off, he opens the face to get it through cover-point.",7,Delhi,42,12,4,27,4.666666666666667,4,4,4.4,True,9.0,20,163,121,15.333333333333332,7.891304347826088,0,10
77,12.5,Nortje,B Sai Sudharsan,1,False,0,"spears it full on off, perhaps he gets an inside edge onto his front leg. They rush through for one. Replay confirms the bat.",7,Delhi,43,12,5,28,4.833333333333333,4,5,4.5,True,8.896551724137932,20,163,120,15.166666666666668,7.9120879120879115,0,10
78,12.6,Nortje,Shankar,0,False,1,"Length ball outside off, hangs back and slaps it to cover.",7,Delhi,43,12,6,29,5.0,4,6,4.6,True,8.6,20,163,120,15.0,8.0,0,10
79,13.1,Marsh,B Sai Sudharsan,1,False,0,"Back of a length outside off, he glides it to deep third.",7,Delhi,44,13,1,30,5.166666666666667,5,1,5.1,True,8.516129032258064,20,163,119,14.833333333333332,8.02247191011236,0,10
80,13.2,Marsh,Shankar,0,True,1,"Hugeeee appeal, the umpire stays unmoved again!Marsh cannot believe it and asks Warmer to review it. It is the slower one bowled full on middle and leg, Vijay is done in by the lack of pace and is early into his flick and misses the ball. Is hit what seems to be adjacent.The ball tracker confirms the same - three reds!The Arun Jaitley Stadium has just found its voice back.",7,Delhi,44,13,2,31,5.333333333333333,5,2,5.2,True,8.25,20,163,119,14.666666666666668,8.113636363636363,1,9
81,13.3,Marsh,Miller,1,False,0,"Angles it in on a length on off and middle, he tucks it to fine leg.",7,Delhi,45,13,3,32,5.5,5,3,5.3,True,8.181818181818182,20,163,118,14.5,8.137931034482758,1,9
82,13.4,Marsh,B Sai Sudharsan,2,False,0,"Length ball outside off, he slaps it through cover. Mukesh slides and prevents the four, keeping them to two.",7,Delhi,47,13,4,33,5.666666666666667,5,4,5.4,True,8.294117647058822,20,163,116,14.333333333333332,8.093023255813954,1,9
83,13.5,Marsh,B Sai Sudharsan,1,False,0,"On the pads again, worked away through square leg.",7,Delhi,48,13,5,34,5.833333333333333,5,5,5.5,True,8.22857142857143,20,163,115,14.166666666666668,8.117647058823529,1,9
84,13.6,Marsh,Miller,1,False,0,"Fullish and outside off, he goes for the drive and gets a thick outside edge to deep third.",7,Delhi,49,13,6,35,6.0,5,6,5.6,True,8.166666666666666,20,163,114,14.0,8.142857142857142,1,9
85,14.1,Kuldeep,Miller,0,False,1,"Has Kuldeep got his man?The umpire think so and Miller reviews. It is flighted and lands it full around middle and leg. It is the googly, too. Miller plays for the traditional legbreak and misses it completely. Is it sliding down leg though? Only that can save Miller.Ball-tracker shows that it would have missed the stumps.",7,Delhi,49,14,1,36,6.166666666666667,6,1,6.1,True,7.945945945945946,20,163,114,13.833333333333332,8.240963855421688,1,9
86,14.2,Kuldeep,Miller,1,False,0,"Flatter and quicker on leg, he goes back and works it away through midwicket.",7,Delhi,50,14,2,37,6.333333333333333,6,2,6.2,True,7.894736842105264,20,163,113,13.666666666666668,8.268292682926829,1,9
87,14.3,Kuldeep,B Sai Sudharsan,0,False,1,"Another googly on a length, Sudharsan doesn't really pick it well. Goes back to cut and chops it to the off side.",7,Delhi,50,14,3,38,6.5,6,3,6.3,True,7.6923076923076925,20,163,113,13.5,8.37037037037037,1,9
88,14.4,Kuldeep,B Sai Sudharsan,1,False,0,"Lands it on a length and it is the traditional legbreak, goes back and tucks it through square leg.",7,Delhi,51,14,4,39,6.666666666666667,6,4,6.4,True,7.6499999999999995,20,163,112,13.333333333333332,8.4,1,9
89,14.5,Kuldeep,Miller,1,False,0,"Flatter on off, he goes back and slaps it through cover.",7,Delhi,52,14,5,40,6.833333333333333,6,5,6.5,True,7.609756097560976,20,163,111,13.166666666666668,8.430379746835442,1,9
90,14.6,Kuldeep,B Sai Sudharsan,1,False,0,"Shortish, he goes back and pulls it from outside off and through mid-on.",7,Delhi,53,14,6,41,7.0,6,6,6.6,True,7.571428571428571,20,163,110,13.0,8.461538461538462,1,9
91,15.1,Mukesh Kumar,B Sai Sudharsan,1,False,0,"Bowls it full outside off, he clears the front leg an d smacks it to long-on.",7,Delhi,54,15,1,42,7.166666666666667,7,1,7.1,True,7.534883720930233,20,163,109,12.833333333333332,8.493506493506494,1,9
92,15.2,Mukesh Kumar,Miller,1,False,0,"Length ball outside off, he hangs back and slaps it through cover.",7,Delhi,55,15,2,43,7.333333333333333,7,2,7.2,True,7.5,20,163,108,12.666666666666668,8.526315789473683,1,9
93,15.3,Mukesh Kumar,B Sai Sudharsan,1,False,0,"Low full toss on off, heaved away on the bounce to long-on.",7,Delhi,56,15,3,44,7.5,7,3,7.3,True,7.466666666666667,20,163,107,12.5,8.56,1,9
94,15.4,Mukesh Kumar,Miller,6,False,0,"Miller's arc and it is out of here!Back of a length outside off, he hangs back and heaves it well over deep midwicket.",7,Delhi,62,15,4,45,7.666666666666667,7,4,7.4,True,8.08695652173913,20,163,101,12.333333333333332,8.18918918918919,1,9
95,15.5,Mukesh Kumar,Miller,6,False,0,"Second six of the over and the ball boy puts it down!Full and outside off, Miller fetches it and heaves it well over the on side. Mid-on was in the ring and it was only about clearing him. He clears the boundary.",7,Delhi,68,15,5,46,7.833333333333333,7,5,7.5,True,8.680851063829788,20,163,95,12.166666666666668,7.808219178082191,1,9
96,15.6,Mukesh Kumar,Miller,4,False,0,"And this is hammered alright!Full and outside off, Miller gets the desired width. Thrashes it through covers to get the equation down to 26 off 24.",7,Delhi,72,15,6,47,8.0,7,6,7.6,True,9.0,20,163,91,12.0,7.583333333333333,1,9
97,16.1,Nortje,B Sai Sudharsan,1,False,0,"Length ball angling away, punched wide of mid-off.",7,Delhi,73,16,1,48,8.166666666666666,8,1,8.1,True,8.938775510204083,20,163,90,11.833333333333334,7.605633802816901,1,9
98,16.2,Nortje,Miller,1,False,0,"Length ball outside off, he glides it to deep third.",7,Delhi,74,16,2,49,8.333333333333334,8,2,8.2,True,8.879999999999999,20,163,89,11.666666666666666,7.628571428571429,1,9
99,16.3,Nortje,B Sai Sudharsan,4,False,0,"Gets to a half-century in style! How impressive has B Sai Sudharsan been tonight. Back of a length just outside off, he hops and ramps it over the wicketkeeper. Almost went the distance. Jussssst bounces in front of the boundary cushion.",7,Delhi,78,16,3,50,8.5,8,3,8.3,True,9.176470588235293,20,163,85,11.5,7.391304347826087,1,9
100,16.4,Nortje,B Sai Sudharsan,1,False,0,"Full on off, worked away through mid-on.",7,Delhi,79,16,4,51,8.666666666666666,8,4,8.4,True,9.115384615384617,20,163,84,11.333333333333334,7.411764705882352,1,9
101,16.5,Nortje,Miller,1,False,0,"Full and outside off, patted in front of point for a quick one.",7,Delhi,80,16,5,52,8.833333333333334,8,5,8.5,True,9.056603773584905,20,163,83,11.166666666666666,7.432835820895523,1,9
102,16.6,Nortje,B Sai Sudharsan,6,False,0,Hugeeee! That is massive!Nortje bangs it in and angles it in. Sudharsan swivels and deposits well over fine leg. Batting exhibition.,7,Delhi,86,16,6,53,9.0,8,6,8.6,True,9.555555555555555,20,163,77,11.0,7.0,1,9
103,17.1,Khaleel Ahmed,Miller,0,False,1,"Length ball outside off, chops it to backward point.",7,Delhi,86,17,1,54,9.166666666666666,9,1,9.1,True,9.381818181818183,20,163,77,10.833333333333334,7.107692307692307,1,9
104,17.2,Khaleel Ahmed,Miller,4,False,0,"Pure timing from Miller. Full and outside off, he leans into it and hits it uppishly past cover. No stoipping that in the deep.",7,Delhi,90,17,2,55,9.333333333333334,9,2,9.2,True,9.642857142857142,20,163,73,10.666666666666666,6.84375,1,9
105,17.3,Khaleel Ahmed,Miller,1,False,0,On middle and legm whipped to deep square leg.,7,Delhi,91,17,3,56,9.5,9,3,9.3,True,9.578947368421053,20,163,72,10.5,6.857142857142857,1,9
106,17.4,Khaleel Ahmed,B Sai Sudharsan,2,False,0,"Full on off and middle, flicked it through midwicket for a couple.",7,Delhi,93,17,4,57,9.666666666666666,9,4,9.4,True,9.620689655172415,20,163,70,10.333333333333334,6.774193548387096,1,9
107,17.5,Khaleel Ahmed,B Sai Sudharsan,1,False,0,"Full on leg, flicked away through square leg.",7,Delhi,94,17,5,58,9.833333333333334,9,5,9.5,True,9.559322033898304,20,163,69,10.166666666666666,6.786885245901639,1,9
108,17.6,Khaleel Ahmed,Miller,1,False,0,"Full on middle and leg, clips it away through midwicket to keep strike.",7,Delhi,95,17,6,59,10.0,9,6,9.6,True,9.5,20,163,68,10.0,6.8,1,9
109,18.1,Marsh,Miller,2,False,0,"Length ball around off, he works it away through forward square leg and sprints back for two toseal a six-wicket win!",7,Delhi,97,18,1,60,10.166666666666666,10,1,10.1,True,9.540983606557377,20,163,66,9.833333333333334,6.711864406779661,1,9
13,2.1,Nortje,Saha,0,True,1,"Roaring start in IPL 2023 for Nortje!A 143 kph missile slanting in to Saha, cramps him for room and does him for pace. It is the nip-backer. Saha hops and looks to defend but gets beaten on the inside. The ball goes off his pads and disturbs the stumps. Titans lose their first.",7,Delhi,97,2,1,61,10.333333333333334,10,2,10.2,True,9.387096774193548,20,163,66,9.666666666666666,6.8275862068965525,2,8
14,2.2,Nortje,B Sai Sudharsan,1,False,0,"Fullish and angling in, flicks it towards midwicket to get going.",7,Delhi,98,2,2,62,10.5,10,3,10.3,True,9.333333333333334,20,163,65,9.5,6.842105263157895,2,8
15,2.3,Nortje,Gill,0,False,1,"Length ball in line of the stumps, defends it towards mid-on. Was a tad aerial.",7,Delhi,98,2,3,63,10.666666666666666,10,4,10.4,True,9.1875,20,163,65,9.333333333333334,6.9642857142857135,2,8
16,2.4,Nortje,Gill,1,False,0,"Misses out on the full toss! !47.9kph on the stumps, pushes it straight and hares to the other end before mid-on gets around.",7,Delhi,99,2,4,64,10.833333333333334,10,5,10.5,True,9.138461538461538,20,163,64,9.166666666666666,6.981818181818182,2,8
17,2.5,Nortje,B Sai Sudharsan,1,False,0,"Full and around off, pushes it towards mid-on for a quick one.",7,Delhi,100,2,5,65,11.0,10,6,10.6,True,9.090909090909092,20,163,63,9.0,7.0,2,8
18,2.6,Nortje,Gill,0,False,1,"Outside off on a length, punches it straight to covers.",7,Delhi,100,2,6,66,11.166666666666666,11,1,11.1,True,8.955223880597016,20,163,63,8.833333333333334,7.132075471698113,2,8
19,3.1,Mukesh Kumar,B Sai Sudharsan,0,False,1,"Lands it on a length outside off, he looks to cut but it goes under the bat and on the bounce to the keeper.",7,Delhi,100,3,1,67,11.333333333333334,11,2,11.2,True,8.823529411764705,20,163,63,8.666666666666666,7.26923076923077,2,8
20,3.2,Mukesh Kumar,B Sai Sudharsan,4,False,0,"Shot! Full and outside off, Sudharsan leans into it and nails the cover drive. Finds the gap between cover-point and covers.",7,Delhi,104,3,2,68,11.5,11,3,11.3,True,9.043478260869565,20,163,59,8.5,6.9411764705882355,2,8
21,3.3,Mukesh Kumar,B Sai Sudharsan,1,False,0,"Slower one around off,m on a length, he pats it to the on side and quickly gets to the other end. 114 clicks that.",7,Delhi,105,3,3,69,11.666666666666666,11,4,11.4,True,9.0,20,163,58,8.333333333333334,6.959999999999999,2,8
22,3.4,Mukesh Kumar,Gill,0,False,1,"Gill has missed out there. It was angled in on a length on the pads, he mishits his pull to short fine leg, Either side of that fielder and that would have been four.",7,Delhi,105,3,4,70,11.833333333333334,11,5,11.5,True,8.873239436619718,20,163,58,8.166666666666666,7.102040816326531,2,8
