Ball,Ball Number,Bowler,Batsman,Runs,is_wicket,bowler_good,Description,match_id,total_runs,over,ball_in_over,continuous_ball_index,overs_bowled,overs_completed,balls_in_current_over,actual_over_ball,is_original_ball_number,current_run_rate,total_overs,target,runs_needed,overs_remaining,required_run_rate,wickets_fallen,wickets_in_hand
1,0.1,Behrendorff,Kohli,1,False,0,"On a length with a bit of shape away from Kohli, who opens the face of the bat and pats to point for a run",5,1,0,1,0,0.16666666666666666,0,1,0.1,True,1.0,20,172,171,19.833333333333332,8.6218487394958,0,10
2,0.2,Behrendorff,du Plessis,0,False,1,"Length just outside off, not a lot of shape as du Plessis taps to point",5,1,0,2,1,0.3333333333333333,0,2,0.2,True,1.0,20,172,171,19.666666666666668,8.694915254237287,0,10
3,0.3,Behrendorff,du Plessis,1,False,0,"Ooh, gets the length ball to shape into du Plessis, who presents the full face of the bat and drives past the bowler for a run",5,2,0,3,2,0.5,0,3,0.3,True,2.0,20,172,170,19.5,8.717948717948717,0,10
4,0.4,Behrendorff,Kohli,1,False,0,"Again, just a hint of movement into Kohli, who walks towards the bowler a touch, defends to the left of the bowler and takes a quick run",5,3,0,4,3,0.6666666666666666,0,4,0.4,True,3.0,20,172,169,19.333333333333332,8.741379310344827,0,10
5,0.5,Behrendorff,du Plessis,2,False,0,"Length ball on middle and shaping into leg, he tucks it to the right of deep backward square leg and they take a couple of runs. Kishan flicks the ball back onto the stumps as the throw comes in but the batter had made it comfortably.",5,5,0,5,4,0.8333333333333334,0,5,0.5,True,5.0,20,172,167,19.166666666666668,8.71304347826087,0,10
6,0.6,Behrendorff,du Plessis,0,False,1,"On a length on middle stump, du Plessis pushes it back to the bowler",5,5,0,6,5,1.0,0,6,0.6,True,5.0,20,172,167,19.0,8.789473684210526,0,10
7,1.1,Arshad Khan,Kohli,0,False,1,"Better line, and has Kohli in just a bit of trouble. On a length with a hint of shape into Kohli, who looks for a drive on the up, gets a thick inside-edge back onto the pads. Could have so easily sneaked back onto his stumps.",5,5,1,1,6,1.1666666666666667,1,1,1.1,True,4.285714285714286,20,172,167,18.833333333333332,8.867256637168142,0,10
8,1.2,Arshad Khan,Kohli,4,False,0,"Too straight and punished!Full-length ball on the pads of Kohli, who effortlessly flicks it past a diving short fine leg for a four",5,9,1,2,7,1.3333333333333333,1,2,1.2,True,6.75,20,172,163,18.666666666666668,8.732142857142856,0,10
9,1.3,Arshad Khan,Kohli,0,False,1,Shimmies down the track to the length ball outside off and mistimes to covers,5,9,1,3,8,1.5,1,3,1.3,True,6.0,20,172,163,18.5,8.81081081081081,0,10
10,1.4,Arshad Khan,Kohli,1,False,0,Some in-swing into Kohli but once again the line is on the pads. He clips it imperiously to deep backward square leg.,5,10,1,4,9,1.6666666666666667,1,4,1.4,True,6.0,20,172,162,18.333333333333332,8.836363636363638,0,10
11,1.5,Arshad Khan,du Plessis,0,False,1,"Ooh, gets good movement causing du Plessis to lose his footing. Full on the pads of the batter, who is swept off his feet",5,10,1,5,10,1.8333333333333333,1,5,1.5,True,5.454545454545455,20,172,162,18.166666666666668,8.91743119266055,0,10
12,1.6,Arshad Khan,Kohli,0,False,1,Dances down the track does Kohli to the length ball on leg stump and absolutely pummels it but straight to mid-on,5,10,1,6,11,2.0,1,6,1.6,True,5.0,20,172,162,18.0,9.0,0,10
