Ball,Ball Number,Bowler,Batsman,Runs,is_wicket,bowler_good,Description,match_id,total_runs,over,ball_in_over,continuous_ball_index,overs_bowled,overs_completed,balls_in_current_over,actual_over_ball,is_original_ball_number,current_run_rate,total_overs,target,runs_needed,overs_remaining,required_run_rate,wickets_fallen,wickets_in_hand
114,18.6,Unadkat,Kuldeep,0,False,1,"fullish length ball on eighth stump, Kuldeep backs away from leg but takes himself out of reach to get bat on ball with a late stab.",3,81,18,6,65,11.0,10,6,10.6,True,7.363636363636363,20,194,113,9.0,12.555555555555555,4,6
115,19.1,Wood,Axar Patel,0,True,1,It's Wood's night for sure!Leg stump half-volley flicked effortlessly but picks out deep square leg. Sub fielder Mankad takes a simple catch at chest height four yards inside the rope. Not as spectacular a delivery as his previous three wicket-taking balls but still effective nonetheless.,3,81,19,1,66,11.166666666666666,11,1,11.1,True,7.253731343283582,20,194,113,8.833333333333334,12.792452830188678,5,5
116,19.2,Wood,Sakariya,4,False,0,"full in the slot on fifth stump, drives this inside out over mid-off to the rope. First boundary conceded by Wood in this match.",3,85,19,2,67,11.333333333333334,11,2,11.2,True,7.5,20,194,109,8.666666666666666,12.576923076923078,5,5
117,19.3,Wood,Sakariya,0,False,1,"back of a length on fourth stump, goes to pull and misses.",3,85,19,3,68,11.5,11,3,11.3,True,7.391304347826087,20,194,109,8.5,12.823529411764707,5,5
118,19.4,Wood,Sakariya,0,False,1,"bouncer on leg stump, ducked under to leave alone.",3,85,19,4,69,11.666666666666666,11,4,11.4,True,7.2857142857142865,20,194,109,8.333333333333334,13.079999999999998,5,5
119,19.5,Wood,Sakariya,0,True,1,"Wood has a five-for after making the switch to LSG!Length ball outside leg stump, Sakariya tries to heave this over the leg side but is rushed and it flutters up off the splice of the bat to Krunal at short midwicket inside the ring. Simple catch.",3,85,19,5,70,11.833333333333334,11,5,11.5,True,7.183098591549295,20,194,109,8.166666666666666,13.346938775510205,6,4
120,19.6,Wood,Mukesh Kumar,0,False,1,"144 kph lands full and searing in toward leg stump, but Mukesh is able to keep this out backing away from leg stump with a punch to cover.The match ends with a whimper as LSG march to a 50-run win.",3,85,19,6,71,12.0,11,6,11.6,True,7.083333333333333,20,194,109,8.0,13.625,6,4
13,2.1,Gowtham,Shaw,4,False,0,"Half-tracker on the hips, Shaw swivels and clobbers this over backward square leg, one bounce over the rope.",3,89,2,1,72,12.166666666666666,12,1,12.1,True,7.315068493150685,20,194,105,7.833333333333334,13.404255319148936,6,4
14,2.2,Gowtham,Shaw,1,False,0,"another short ball on middle this time, pulled to deep midwicket for one.",3,90,2,2,73,12.333333333333334,12,2,12.2,True,7.297297297297297,20,194,104,7.666666666666666,13.56521739130435,6,4
15,2.3,Gowtham,Warner,0,False,1,"Warner goes to reverse sweep this fullish length ball on middle and gets hit in the family jewels... Big lbw shout denied. Warner is not the only one speechless, but for different reasons to everyone else watching.",3,90,2,3,74,12.5,12,3,12.3,True,7.2,20,194,104,7.5,13.866666666666667,6,4
16,2.4,Gowtham,Warner,0,False,1,"short on middle, backs away and goes to cut, picks out backward point.",3,90,2,4,75,12.666666666666666,12,4,12.4,True,7.105263157894737,20,194,104,7.333333333333334,14.18181818181818,6,4
17,2.5,Gowtham,Warner,4,False,0,"short on middle, pulls this fiercely over square leg and wide midwicket on the rope has no chance.",3,94,2,5,76,12.833333333333334,12,5,12.5,True,7.324675324675324,20,194,100,7.166666666666666,13.953488372093025,6,4
18,2.6,Gowtham,Warner,0,False,1,"length ball on fifth stump, goes to cut and bottom edges this to cover.",3,94,2,6,77,13.0,12,6,12.6,True,7.230769230769231,20,194,100,7.0,14.285714285714286,6,4
19,3.1,Avesh Khan,Shaw,1,False,0,"length ball at 133 kph on fourth stump, Shaw shuffles back and across to flick into the leg side.",3,95,3,1,78,13.166666666666666,13,1,13.1,True,7.215189873417722,20,194,99,6.833333333333334,14.48780487804878,6,4
20,3.2,Avesh Khan,Warner,0,False,1,"length ball angled across seventh stump at 135 kph, goes to cut and misses.",3,95,3,2,79,13.333333333333334,13,2,13.2,True,7.125,20,194,99,6.666666666666666,14.850000000000001,6,4
21,3.3,Avesh Khan,Warner,0,False,1,"full on seventh stump, miscues a drive to extra cover.",3,95,3,3,80,13.5,13,3,13.3,True,7.037037037037037,20,194,99,6.5,15.23076923076923,6,4
22,3.4,Avesh Khan,Warner,0,False,1,"short on the stumps, goes to pull and toes this tamely to midwicket for none.",3,95,3,4,81,13.666666666666666,13,4,13.4,True,6.951219512195122,20,194,99,6.333333333333334,15.63157894736842,6,4
23,3.5,Avesh Khan,Warner,2,False,0,"length ball on sixth stump, goes to cut and another toe-edged shot goes behind point for two.",3,97,3,5,82,13.833333333333334,13,5,13.5,True,7.012048192771084,20,194,97,6.166666666666666,15.729729729729732,6,4
24,3.6,Avesh Khan,Warner,4,False,0,"137 kph length ball on sixth stump, goes to cut and bottom edges this past the stumps to the fine leg rope.",3,101,3,6,83,14.0,13,6,13.6,True,7.214285714285714,20,194,93,6.0,15.5,6,4
25,4.1,Wood,Shaw,0,False,1,"short ball on middle, goes back to defend.",3,101,4,1,84,14.166666666666666,14,1,14.1,True,7.129411764705883,20,194,93,5.833333333333334,15.942857142857141,6,4
26,4.2,Wood,Shaw,0,False,1,"back of a length on fourth stump, defended on the back foot to cover.",3,101,4,2,85,14.333333333333334,14,2,14.2,True,7.046511627906977,20,194,93,5.666666666666666,16.411764705882355,6,4
27,4.3,Wood,Shaw,0,True,1,"bullseye! Wood rattles the off stump wood at 147 kph!Bowled on a good length angled in from wide of the crease, Shaw's feet never move and he flails at this tamely. He's beaten badly and the bails go flying.",3,101,4,3,86,14.5,14,3,14.3,True,6.9655172413793105,20,194,93,5.5,16.90909090909091,7,3
28,4.4,Wood,Marsh,0,True,1,double bullseye! Another 147 kph bullet leaves a big dent in off stump about three-quarters of the way up!Marsh shuffled across to cover his stumps and goes for an expansive drive to a ball pitching on fifth stump but is beaten by the sharp inward movement.,3,101,4,4,87,14.666666666666666,14,4,14.4,True,6.886363636363637,20,194,93,5.333333333333334,17.437499999999996,8,2
29,4.5,Wood,Sarfaraz Khan,0,False,1,"length ball on fifth stump, goes to drive this and a thick edge goes behind to the keeper. Free hit though so no harm done.",3,101,4,5,88,14.833333333333334,14,5,14.5,True,6.808988764044943,20,194,93,5.166666666666666,18.000000000000004,8,2
30,4.6,Wood,Sarfaraz Khan,0,False,1,"length ball on fourth stump, defended into the off side for none.",3,101,4,6,89,15.0,14,6,14.6,True,6.733333333333333,20,194,93,5.0,18.6,8,2
31,5.1,Avesh Khan,Warner,0,False,1,"length ball on fifth stump, slapped to cover for none.",3,101,5,1,90,15.166666666666666,15,1,15.1,True,6.65934065934066,20,194,93,4.833333333333334,19.241379310344826,8,2
32,5.2,Avesh Khan,Warner,0,False,1,"yorker on middle, jammed out back to Avesh who fields with his right hand and looks at the bandaging on there again.",3,101,5,2,91,15.333333333333334,15,2,15.2,True,6.58695652173913,20,194,93,4.666666666666666,19.92857142857143,8,2
33,5.3,Avesh Khan,Warner,1,False,0,"132 kph length ball on fourth stump, pulled through square leg for one.",3,102,5,3,92,15.5,15,3,15.3,True,6.580645161290323,20,194,92,4.5,20.444444444444443,8,2
34,5.4,Avesh Khan,Sarfaraz Khan,4,False,0,"length ball on seventh stump, pulls this fiercely over midwicket. One bounce over the rope.",3,106,5,4,93,15.666666666666666,15,4,15.4,True,6.765957446808511,20,194,88,4.333333333333334,20.307692307692307,8,2
35,5.5,Avesh Khan,Sarfaraz Khan,0,False,1,"fullish length ball on seventh stump, goes to drive and is beaten.",3,106,5,5,94,15.833333333333334,15,5,15.5,True,6.694736842105263,20,194,88,4.166666666666666,21.120000000000005,8,2
36,5.6,Avesh Khan,Sarfaraz Khan,0,False,1,"fullish length ball on fifth stump angled in, pokes at this awkwardly and is beaten.",3,106,5,6,95,16.0,15,6,15.6,True,6.625,20,194,88,4.0,22.0,8,2
37,6.1,Wood,Warner,0,False,1,"back of a length on middle, Warner hops back to defend this 148 kph delivery.",3,106,6,1,96,16.166666666666668,16,1,16.1,True,6.556701030927835,20,194,88,3.833333333333332,22.95652173913044,8,2
38,6.2,Wood,Warner,0,False,1,"good length ball on middle, defended watchfully again by Warner to mid-off.",3,106,6,2,97,16.333333333333332,16,2,16.2,True,6.4897959183673475,20,194,88,3.666666666666668,23.999999999999993,8,2
39,6.3,Wood,Warner,1,False,0,"short on off stump, cuts this to deep point for one.",3,107,6,3,98,16.5,16,3,16.3,True,6.484848484848484,20,194,87,3.5,24.857142857142858,8,2
40,6.4,Wood,Sarfaraz Khan,0,False,1,"back of a length angled into off at 140 kph, defended hopping on his toes to prod this to cover.",3,107,6,4,99,16.666666666666668,16,4,16.4,True,6.42,20,194,87,3.333333333333332,26.10000000000001,8,2
