Ball,Ball Number,Bowler,Batsman,Runs,is_wicket,bowler_good,Description,match_id,city,total_runs,over,ball_in_over,continuous_ball_index,overs_bowled,overs_completed,balls_in_current_over,actual_over_ball,is_original_ball_number,current_run_rate,total_overs,target,runs_needed,overs_remaining,required_run_rate,wickets_fallen,wickets_in_hand
1,0.1,Boult,Saha,0,False,1,"shorter side of a length, cramping him for room as it angles in from middle stump. Hits Saha high on the glove in front his chest, with the ball dribbling towards the man at backward short leg",48,Jaipur,0,0,1,0,0.16666666666666666,0,1,0.1,True,0.0,20,119,119,19.833333333333332,6.0,0,10
2,0.2,Boult,Saha,0,False,1,"length ball on fifth stump, as Saha pushes at it but back to the bowler off the inside half of the bat",48,Jaipur,0,0,2,1,0.3333333333333333,0,2,0.2,True,0.0,20,119,119,19.666666666666668,6.0508474576271185,0,10
3,0.3,Boult,Saha,4,False,0,"driven between mid-off and cover!Just uses the pace, and the ball races away though the quick outfield. Fullish ball and a bit wide of off, as he presents the full face of the bat",48,Jaipur,4,0,3,2,0.5,0,3,0.3,True,4.0,20,119,115,19.5,5.897435897435898,0,10
4,0.4,Boult,Saha,4,False,0,"hacked just past point!The point fielder leaped to his right, but the ball was way above him. Short and wide from Boult, and Saha slashed hard",48,Jaipur,8,0,4,3,0.6666666666666666,0,4,0.4,True,8.0,20,119,111,19.333333333333332,5.741379310344828,0,10
5,0.5,Boult,Saha,1,False,0,"inside edge past the stumps!Saha going for everything here. Much fuller ball just outside off, as he seemed to have driven early at that. Single to fine leg",48,Jaipur,9,0,5,4,0.8333333333333334,0,5,0.5,True,9.0,20,119,110,19.166666666666668,5.739130434782608,0,10
6,0.6,Boult,Gill,0,False,1,"full just outside off, but finishes on off stump. Tucked to cover",48,Jaipur,9,0,6,5,1.0,0,6,0.6,True,9.0,20,119,110,19.0,5.7894736842105265,0,10
7,1.1,Sandeep,Saha,1,False,0,"good length ball, sliding into his pads. Clipped to short fine",48,Jaipur,10,1,1,6,1.1666666666666667,1,1,1.1,True,8.571428571428571,20,119,109,18.833333333333332,5.787610619469027,0,10
8,1.2,Sandeep,Gill,0,False,1,"short of a length, angling in late to finish on off. No room for Gill to nudge with a flat bat towards cover",48,Jaipur,10,1,2,7,1.3333333333333333,1,2,1.2,True,7.5,20,119,109,18.666666666666668,5.8392857142857135,0,10
9,1.3,Sandeep,Gill,0,False,1,"length delivery in the channel outside off, and tucked back",48,Jaipur,10,1,3,8,1.5,1,3,1.3,True,6.666666666666667,20,119,109,18.5,5.891891891891892,0,10
10,1.4,Sandeep,Gill,0,False,1,"there is a man somewhere between short mid-on and short midwicket, and Gill finds him with his flick off this full ball angling into the stumps",48,Jaipur,10,1,4,9,1.6666666666666667,1,4,1.4,True,6.0,20,119,109,18.333333333333332,5.945454545454546,0,10
11,1.5,Sandeep,Gill,0,False,1,"punches this shortish ball, shaping away to end just outside off. Finds the cover fielder",48,Jaipur,10,1,5,10,1.8333333333333333,1,5,1.5,True,5.454545454545455,20,119,109,18.166666666666668,6.0,0,10
12,1.6,Sandeep,Gill,1,False,0,"gets off the mark off the sixth ball. A little clip off the length ball on the stumps, and a single to deep square",48,Jaipur,11,1,6,11,2.0,1,6,1.6,True,5.5,20,119,108,18.0,6.0,0,10
61,10.1,Zampa,Hardik,6,False,0,"belted back 90 degrees!Zampa tossed it up, and went full on the stumps. Pandya stood with his front leg out of the way, and sent that flying back",48,Jaipur,17,10,1,12,2.1666666666666665,2,1,2.1,True,7.846153846153847,20,119,102,17.833333333333332,5.719626168224299,0,10
