Ball,Ball Number,Summary,Description
228,37.2,"O'Rourke to Axar Patel,1 run","Back of a length ball on middle and leg, he works this to deep backward square leg"
229,37.3,"O'Rourke to Shreyas Iyer,1 run","Banged in short outside off, he looks to just help this fine, gets a soft top-edge to deep fine leg"
230,37.4,"O'Rourke to Axar Patel,no run","Sharp good length ball on middle, he ticks this to midwicket"
231,37.5,"O'Rourke to Axar Patel,FOUR runs","Pulled with disdain, and he gets a four for his effort. Stunning shot!Back of a length ball on the stumps, he whips it past mid-on with authority"
232,37.6,"O'Rourke to Axar Patel,no run","Again, confusion with the running but Iyer is safe.Good length on off, he pushes to mid-off and takes a few steps down the track before going back. Iyer commits to the single only to turn back in time. There is a direct hit, but Iyer was in. That will be drinks"
233,38.1,"Santner to Shreyas Iyer,no run",Angled in on off stump as Iyer prods forward and pushes to cover
234,38.2,"Santner to Shreyas Iyer,no run","Flatter on leg stump, he was looking to work this away but misses and is rapped on the pad"
235,38.3,"Santner to Shreyas Iyer,no run","Floated outside off, he drives to extra cover"
236,38.4,"Santner to Shreyas Iyer,OUT","In the air and taken by Ravindra sprinting to his left from short fine leg.That is a lovely catch by him diving low. Stifle short on middle stump, he gets across looking to pull this fine, gets it off the splice. Rachin moves beautifully to his left and grabs this inches off the turf"
237,38.5,"Santner to Rahul,1 run","Floated outside off, he stretches forward and drives to deep cover"
238,38.6,"Santner to Axar Patel,SIX runs","SMOKED for six!Tossed  up on the stumps, he brings out the slog sweep and nails that over deep backward square leg"
239,39.1,"Michael Bracewell to Rahul,no run","Flatter on off stump, he stays back and pushes to the bowler"
240,39.2,"Michael Bracewell to Rahul,no run","Tossed up outside off, he shimmies down the track and ticks to midwicket"
241,39.3,"Michael Bracewell to Rahul,no run",Turns the length ball into Rahul who stays back and pushes to cover
242,39.4,"Michael Bracewell to Rahul,no run","Flatter length ball around off stump, he stays back and pushes this to straight midwicket"
243,39.5,"Michael Bracewell to Rahul,1 run","A yes and no situation and they make it home, eventually Tossed up on off, he works this to Santner's left at square leg. Miscommunication but here was always a run on"
244,39.6,"Michael Bracewell to Axar Patel,no run","Slower length ball on middle, he works this to midwicket"
245,40.1,"Santner to Rahul,1 run","Flatter length ball on middle stump, he plays with an open face of the bat to GP's left at extra cover and takes a quick run"
246,40.2,"Santner to Axar Patel,no run","Flattish length ball on off, he stays back and works this to midwicket"
247,40.3,"Santner to Axar Patel,1 run",Drags down his length outside off as Axar stays back and punches to long-off
248,40.4,"Santner to Rahul,SIX runs","Going, going, gone!Gently tossed up on leg stump. Rahul clears his front leg, gives himself some room and goes miles over long-on"
249,40.5,"Santner to Rahul,2 runs","Short and wide outside off, he stays back and slaps to the right of GP at short extra cover. He gets a hand to it, but can't prevent two. India's 200 is up"
250,40.6,"Santner to Rahul,1 run","Angled in on middle, he works this with soft hands towards deep midwicket for a run"
251,41.1,"Michael Bracewell to Rahul,no run","Tossed up on off, he works this calmly to square leg"
252,41.2,"Michael Bracewell to Rahul,1 run","Tossed up on middle stump, he clips this past GP at short midwicket for a run"
253,41.3,"Michael Bracewell to Axar Patel,OUT","Axar falls and Bracewell has another one.That's not Axar's best moment, I must add. Floated on off stump, he takes a couple of steps down the track and looks to go over long-off. Completely mis-hits this and O'Rourke takes a safe catch."
254,41.4,"Michael Bracewell to Hardik,no run","Flatter length ball on off, Pandya prods forward and defends"
255,41.5,"Michael Bracewell to Hardik,no run","Darted in on off stump, Pandya stretches forward and defends"
