Ball,Ball Number,Summary,Description
53,8.1,"Santner to Gill,no run","Length on fourth, square driven late. Finds point. Santner gave it air, got good bounce. No spin though"
54,8.2,"Santner to Gill,no run","Length on fourth, jabbed with a horizontal bat to cover"
55,8.3,"Santner to Gill,no run","Good ball. On a length, off-stump line, 91ks. Gill looks to defend to the bowler's left, thick outside edge takes it towards point"
56,8.4,"Santner to Gill,1 run","Length on leg, clipped to midwicket"
57,8.5,"Santner to Rohit Sharma,no run","Full on off, defended to cover"
58,8.6,"Santner to Rohit Sharma,no run","Fullish on middle, defended back to the bowler. 92ks. Think Rohit could've danced down the pitch and pumped it over the bowler's head, but he's not taking chances against Santner"
59,9.1,"Ravindra to Gill,no run","A bit of turn away. 85ks, fullish length, landed around fourth and Gill drove it to cover. Ball hovered low and went to him on the bounce"
60,9.2,"Ravindra to Gill,1 run","Quick single to midwiclet. Length on middle and leg, flicked off the back foot. 94ks"
61,9.3,"Ravindra to Rohit Sharma,no run","Full on leg, 93ks, pushed back to the bowler"
62,9.4,"Ravindra to Rohit Sharma,1 run","Full at the stumps, loopy, driven to long-off"
63,9.5,"Ravindra to Gill,1 run","Champan saves three at point. He was on the edge of the ring, moved to the left and dove to catch the ball after the passed him. Was a shortish ball outside off that was cut"
64,9.6,"Ravindra to Rohit Sharma,1 run","Length on fourth, punched to long-off"
65,10.1,"Santner to Rohit Sharma,1 run",That is a top half-century for Rohit. A captain's knock just when it was needed the most.Gets there off just 41 balls and it's made India's chase very easy. He reaches there by driving Santner to deep cover
66,10.2,"Santner to Gill,no run","Angled in fuller on off, he punches to the left of Santner who does well to his left"
67,10.3,"Santner to Gill,no run",Angles this slower on off stump as he strides forward and defends
68,10.4,"Santner to Gill,no run","Pushed quicker at 90.1kph on off, he defends back towards the bowler"
69,10.5,"Santner to Gill,no run","Flatter at 87kph around off, he pushes to cover"
70,10.6,"Santner to Gill,no run",Big turn for Santner.Hangs the length ball on off and gets it to turn away late past Gill's outside edge
71,11.1,"Ravindra to Rohit Sharma,1 run","Flatter and stifle short on middle stump, he pushes to long-on for a run"
72,11.2,"Ravindra to Gill,no run","Floated outside off, he slices towards point"
73,11.3,"Ravindra to Gill,1 run","Short and wide, he cuts this to deep point"
74,11.4,"Ravindra to Rohit Sharma,no run",Arm ball that slides back into Rohit who just gets his bat down in time and defends towards cover
75,11.5,"Ravindra to Rohit Sharma,FOUR runs","Edged, but he gets four.Tossed up outside off, turning away from Rohit, who drives on the up, gets a thick outside edge and with no slip there, it was always flying away"
76,11.6,"Ravindra to Rohit Sharma,no run",Was there an edge? Don't think so.Short and wide at 98kph outside off. He shapes up for the cut and gets beaten
77,12.1,"Santner to Gill,2 runs",Drops his length and gets punished. Was outside off as Gill hops back and pulls to the left of deep midwicket
78,12.2,"Santner to Gill,1 run","Shortens his length outside off, he stays back and pushes past point for a run"
79,12.3,"Santner to Rohit Sharma,1 run","Angles the length ball on leg stump, he works this behind square for a run"
80,12.4,"Santner to Gill,no run","Flatter on leg stump, he works this to midwicket"
81,12.5,"Santner to Gill,1 run","Tossed up on off stump, Gill drives handsomely past extra cover for a run"
82,12.6,"Santner to Rohit Sharma,no run","Angles the length ball on middle, Rohit gets forward and defends"
83,13.1,"Ravindra to Gill,1 run",Tossed up fuller on off at 87kph. Gill drives to long-off for a run
84,13.2,"Ravindra to Rohit Sharma,2 runs",Gives him a bit of width as he stays back and slashes this past point for a couple of runs
85,13.3,"Ravindra to Rohit Sharma,no run","Floated outside off stump, Rohit stays leg side of the ball and pushes to Rachin"
86,13.4,"Ravindra to Rohit Sharma,no run","Angled in flatter on middle and leg, he defends to the on-side"
87,13.5,"Ravindra to Rohit Sharma,1 run","Stifle short on middle and leg, he stays back and punches to long-on for a run"
88,13.6,"Ravindra to Gill,SIX runs","UP AND OVER!Charges down the track, gets under the ball and launches Ravindra over long-on. There was a fielder in place but Gill did not care. Made that look so easy there, did Gill"
89,14.1,"Santner to Rohit Sharma,no run","Fuller on middle stump, he digs this to extra cover"
90,14.2,"Santner to Rohit Sharma,FOUR runs",Marginally short but Rohit is so quick in picking lengths. Hops back in an instant and pulls in the gap between deep midwicket and long-on
91,14.3,"Santner to Rohit Sharma,1 run",Hangs this at 78kph on off as he slashes this past point for a run
92,14.4,"Santner to Gill,1 run","Tossed up on off, he drives to long-off with ease"
93,14.5,"Santner to Rohit Sharma,1 run","Flatter at 92kph outside off, he prods forward and drives to deep cover"
94,14.6,"Santner to Gill,no run","Angled in on a length on leg stump, he works this to midwicket."
95,15.1,"Ravindra to Rohit Sharma,1 run","Floated just around off stump, he flicks this aerially but wide of short midwicket for a run down to long-on"
96,15.2,"Ravindra to Gill,no run","Pushed quicker on off stump, he defends back to the bowler"
97,15.3,"Ravindra to Gill,no run","Angles the length ball on middle and leg, he clips this to short midwicket"
98,15.4,"Ravindra to Gill,1 run","Dragged down outside off stump, he shovels this to deep square leg"
99,15.5,"Ravindra to Rohit Sharma,1 run","Shortish in length again on leg stump, he hops back and pulls to deep square leg's left for a run"
100,15.6,"Ravindra to Gill,1 run","Fuller on middle stump, he drives firmly to wide long-off"
101,16.1,"Santner to Gill,no run",Hint of turn away from Gill outside off. He pushes to cover with an angled bat
102,16.2,"Santner to Gill,1 run","On the bounce to long-off. Was angled in on the stumps, he chips this to the fielder. Think he was in control, there"
103,16.3,"Santner to Rohit Sharma,no run","Angles the length ball around off stump, Rohit gets forward and defends"
104,16.4,"Santner to Rohit Sharma,no run",Arm ball at 91.6kph on off. Rohit brings his bat down in time and pushes back towards the bowler
105,16.5,"Santner to Rohit Sharma,1 run",Floated on leg stump rather just outside as Rohit gets outside the line and eases to long-on
106,16.6,"Santner to Gill,1 run","Darts the length ball on the stumps, he gets across and punches back to the bowler, who misfields and concedes a run.The 100 is up as well for India in 17 overs."
107,17.1,"Ravindra to Gill,no run","Flatter length ball just outside off, he chops this down to point"
108,17.2,"Ravindra to Gill,1 run","Fired in on middle and leg, he works this behind square for a run"
109,17.3,"Ravindra to Rohit Sharma,1 run",Gently floated on off stump at 85.5kph as Rohit pushes to long-off for a run
110,17.4,"Ravindra to Gill,no run","Much quicker at 92kph on off stump, he bunts this to the left of Rachin who makes a sprawling dive and intercepts"
111,17.5,"Ravindra to Gill,1 run","Floated outside off, he charges down and slams this down the ground. O'Rourke hares across to his left and saves three"
112,17.6,"Ravindra to Rohit Sharma,no run","Tossed up outside off, he opens the face of the bat a touch and guides to point. That will be drinks with India cruising."
113,18.1,"Santner to Gill,2 runs","Stifle short on off stump, he stays back and pulls to the right of deep backward square leg for a couple of runs"
114,18.2,"Santner to Gill,no run","Hint of turn on middle, he prods half-forward and blocks"
115,18.3,"Santner to Gill,no run","Tossed up on off, he drives firmly to GP at extra cover"
116,18.4,"Santner to Gill,OUT","Has anyone seen Superman and Phillips in the same room? I doubt it.He has just caught another blinder. And this one really is an absolute blinder. Floated outside off, he looks to go up and over GP at short extra cover. That was a boundary if anyone else was there. Not when GP is there. He leaps, flicks out his right hand and hangs on to a stunner. Flashes a big smile right after."
117,18.5,"Santner to Kohli,1 run","Tossed up on middle and leg, he works this past square leg to get off the mark"
118,18.6,"Santner to Rohit Sharma,no run","Tossed up outside off, he shoulders arms"
119,19.1,"Michael Bracewell to Kohli,OUT","He's rapped on the pad first ball and the umpire is given it out.Oh, wow, that's a big decision. Will Kohli review?He has to, almost and he does.Tossed up outside off turning back into Kohli who misses the flick and is caught in front. That looks plumb on first viewing. What does the tracker say?Struck in line - yes. Going onto hit the stumps - Oh, yes!Bracewell is pumped up and NZ suddenly have an opening"
120,19.2,"Michael Bracewell to Shreyas Iyer,no run","Slower good length ball on off, he works this to short midwicket"
121,19.3,"Michael Bracewell to Shreyas Iyer,1 run","On a length outside off, he eases to long-on"
122,19.4,"Michael Bracewell to Rohit Sharma,no run","Tossed up on off, worked to square leg"
123,19.5,"Michael Bracewell to Rohit Sharma,1 run","Floated just outside off, he eases to long-on"
124,19.6,"Michael Bracewell to Shreyas Iyer,no run","Tossed up length ball turning into middle and leg, he ticks this to square leg"
125,20.1,"Santner to Rohit Sharma,no run","Length on fourth, punched while on the back foot to cover"
126,20.2,"Santner to Rohit Sharma,no run","Full on middle and leg, 81ks, defended to the bowler. More a round-arm ball"
127,20.3,"Santner to Rohit Sharma,1 run","Full on middle and leg, flicked to long-on. Pace very slow"
128,20.4,"Santner to Shreyas Iyer,FOUR runs","Shreyas needs no sighters, the ball sat up off a length and he twirl-pulled way over midwicket. No one in the deep. Back foot was in the crease, the front foot slid back too"
129,20.5,"Santner to Shreyas Iyer,no run","Darter this time by Santner, on a length and angled towards top of leg. Beats him on the flick"
130,20.6,"Santner to Shreyas Iyer,no run","Full around off, defended to point, who's close in"
131,21.1,"Michael Bracewell to Rohit Sharma,no run","Length on fourth, worked off the back foot to midwicket"
132,21.2,"Michael Bracewell to Rohit Sharma,1 run","Another flick beaten, pad hit, but height might've been the issue here. Given runs, is it? Was a length ball that drifted away to land in line with fifth and finished around top of off after beating the inside edge"
133,21.3,"Michael Bracewell to Shreyas Iyer,no run","Full around off, worked back to the bowler"
134,21.4,"Michael Bracewell to Shreyas Iyer,no run","Fullish on off, Shreyas goes back and works it to the leg side"
135,21.5,"Michael Bracewell to Shreyas Iyer,1 run","Tight single to point's left. Shreyas the caller there, Rohit was a touch hesitant but charged through. Was a full ball around off that was defended"
136,21.6,"Michael Bracewell to Rohit Sharma,no run","Fullish on off, flicked to the leg side."
137,22.1,"Ravindra to Shreyas Iyer,no run",Shreyas' weight is on the front foot and that yorks him. He manages to punch the ball back to the bowler
138,22.2,"Ravindra to Shreyas Iyer,1 run","Full outside off, 88ks, punched to sweeper cover"
139,22.3,"Ravindra to Rohit Sharma,1 run","Full on middle, 89ks, punched to long-off"
140,22.4,"Ravindra to Shreyas Iyer,no run","Full on middle and leg, backs away and drives to cover"
141,22.5,"Ravindra to Shreyas Iyer,no run","Full on leg, worked back to the bowler"
142,22.6,"Ravindra to Shreyas Iyer,no run","Full on middle and leg, clipped through midwicket. 98ks"
143,23.1,"Michael Bracewell to Rohit Sharma,1 run","Rohit dances down, turns the length ball into a full one and flicks it to long-on. 84ks"
144,23.2,"Michael Bracewell to Shreyas Iyer,1 run","Length down leg, Shreyas is moving about in the crease a lot. He finishes square on and reaches down leg for the flick, gets it to deep square leg"
145,23.3,"Michael Bracewell to Rohit Sharma,no run","Length on leg, beats the flick and hits top of pad. Ball goes where short leg woulda been"
146,23.4,"Michael Bracewell to Rohit Sharma,2 runs",Gentle lap sweep. Rohit got into position early and had to delay his shot a bit but got the full ball on the stumps real fine. Stopped in the deep
147,23.5,"Michael Bracewell to Rohit Sharma,no run",Works it off the front foot to mid-on
148,23.6,"Michael Bracewell to Rohit Sharma,no run","Driven off the bottom of the bat, skewed wide to the left of the bowler. He leaps low but can't get hands on the hovering ball. It goes to mid-off"
149,24.1,"Ravindra to Shreyas Iyer,1 run",Goes back and punches it to long-off
150,24.2,"Ravindra to Rohit Sharma,no run",Punched off the back foot to the bowler
151,24.3,"Ravindra to Rohit Sharma,no run","Length on off, 95ks, Rohit slides his front leg to the leg side and drives to the bowler"
152,24.4,"Ravindra to Rohit Sharma,no run","Ooh, Rohit was in trouble there. Lbw and caught midwicket were in play. He tried to sweep the full ball well in front of the body, was too early on it. The bottom hand might've come off but the ball went into the"
153,24.5,"Ravindra to Rohit Sharma,no run","Full around fourth, defended to the bowler's left. 93ks"
154,24.6,"Ravindra to Rohit Sharma,no run","Fullish length ball on the pads, clipped to midwicket"
155,25.1,"Michael Bracewell to Shreyas Iyer,no run","Taken? No, it doesn't carry back to the bowler. Bracewell reached and fell forward but got half-volleyed. Was a length ball that landed around off and spun in sharply. Shreyas was going square on seamlessly but realised midway into the shot that he didn't account for the turn or the slowness. Got a leading edge that lobbed, but luckily for him the lack of power worked for him in the end"
156,25.2,"Michael Bracewell to Shreyas Iyer,no run","Full at the stumps, worked back to the bowler"
157,25.3,"Michael Bracewell to Shreyas Iyer,no run",Driven off the back foot to mid-off
158,25.4,"Michael Bracewell to Shreyas Iyer,no run","Full on fourth, defended to cover. 91ks"
159,25.5,"Michael Bracewell to Shreyas Iyer,no run","Full on fourth, 89ks, worked to midwicket"
160,25.6,"Michael Bracewell to Shreyas Iyer,no run","Full on fourth, worked to the bowler's right"
161,26.1,"Ravindra to Rohit Sharma,OUT","The Squeeze. IS. ON! In fact, NZ have squeezed water out of stone. Rohit dances down and gets stumped! Huge moment, he waslks back with his head down for most of the way back. Applause from the crowd but NZ are well in the game now. First ball of the over, Rohit looked to manufacture a boundary. Was a shortish ball outside off that spun away, was a pre-meditated shot from Rohit. He charged down and tried to slap it over cover"
162,26.2,"Ravindra to Axar Patel,no run","Sharp spin in, from a shortish length, punched off the back foot to midwicket"
163,26.3,"Ravindra to Axar Patel,no run","Full outside off, driven to cover"
164,26.4,"Ravindra to Axar Patel,no run","Full outside off, driven to cover"
165,26.5,"Ravindra to Axar Patel,no run",Shortish ball bounces extra and beats the cut and hits him on the thigh pad
166,26.6,"Ravindra to Axar Patel,no run",Goes back and punches the length ball on off to mid-off
167,27.1,"Michael Bracewell to Shreyas Iyer,no run","Full on fifth, defended to point. 88ks."
168,27.2,"Michael Bracewell to Shreyas Iyer,no run","Dances down, gets to the pitch and works it back to the bowler"
169,27.3,"Michael Bracewell to Shreyas Iyer,SIX runs","Young tries to take a blinder, has to throw the ball back though. Has he stepped on the cushion though? Yes, replays show. He moved to the right, was facing right too and tried to take it above head. took it with both hands but one of the feet landed too quickly. Was a length ball to which Shreyas danced down and flicked with a full follow-through"
170,27.4,"Michael Bracewell to Shreyas Iyer,no run","Length down leg, flicked off the back foot with the spin"
171,27.5,"Michael Bracewell to Shreyas Iyer,no run","Full on fifth, 90ks, punched to cover"
172,27.6,"Michael Bracewell to Shreyas Iyer,no run","Full on fifth, 89ks, defended to point"
173,28.1,"Phillips to Axar Patel,1 run","Full around off, worked to long-on"
174,28.2,"Phillips to Shreyas Iyer,2 runs","Bad misfield at short third by O'Rourke, Run-out chance? Axar was three-fourth of the way down but the throw never comes. Young twisted his ankle as he turned which let Shreyas off the hook. Was a length ball outside off that Shreyas tried driving through cover."
175,28.3,"Phillips to Shreyas Iyer,no run","Length at the stumps, worked to midwicket. 90ks"
176,28.4,"Phillips to Shreyas Iyer,1 run",Shovel pulls a length ball down leg to deep fine leg. Might've been a touch late on it
177,28.5,"Phillips to Axar Patel,no run","Length on fourth, driven from the crease to cover"
